Index	Bogennummer	REDE_Namen	Sprache	tu	hinein	etwas	kohle	in1	den	ofen	dass	wird	die	milch	bald	zu	kochen	anfangen
ab	11212	Breitenhain	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kuhlen - - - - - - -	in - -	-	Ufen - - - - - -	daß - -	- - - - - -	de	Milch -	bald - - - - - - - -	zu -	kochen - -	anfängt - -
ab	11230	Burkersdorf	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kuhlen - - - - - - -	in - -	-	Ufen - - - - - -	daß - -	- - - - - -	die	Milch -	balle - - - - - - - -	zu -	kuchen - -	ohnfängt - -
ab	11252	Seelingstädt	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kuhln - - - - - - -	in - -	den	Ufen - - - - - -	daß - -	- - - - - -	die	Milch -	- - - - - - - - -	zä -	kuchen - -	afängt - -
ab	11262	Seebach	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kohln - - - - - - -	in - -	-	Uben - - - - - -	das - -	- - - - - -	d'	Milich -	ball - - - - - - - -	z -	kochen - -	ahnfangt - -
ab	1133	Debenke	1	Däu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kaulä - - - - - - -	id - -	dä	Auwä - - - - - -	dat - -	- - - - - -	dei	Melk∫ch -	ball - - - - - - - -	t -	kauken - -	afangt - -
ab	1139	Gliszcz	1	Dau - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kaule - - - - - - -	y - -	dä	Auwe - - - - - -	dat - -	- - - - - -	dei	Mälk -	bull - - - - - - - -	t -	kauken - -	afyngt - -
ab	11467	Boilstädt	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kolln - - - - - - -	in - -	dän	Uwen - - - - - -	däs - -	- - - - - -	de	Mälch -	bähl - - - - - - - -	ze -	kochen - -	ahnfängt - -
ab	11485	Ingersleben	1	Du - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kolln - - - - - - -	in - -	d'n	Uoben - - - - - -	daß - -	- - - - - -	de	Mälch -	bal - - - - - - - -	ze -	kochen - -	uanfangd - -
ab	1150	Czarze	1	Do - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kole - - - - - - -	en - -	de	Owe - - - - - -	dat - -	- - - - - -	de	Melk -	bal - - - - - - - -	to -	koke - -	anfangt - -
ab	11515	Gutendorf	1	Tuck - - - - - - - - - - -	- - - -	- - - - - - - - - -	Koll'n - - - - - - -	in - -	-	Ufen - - - - - -	daß - -	- - - - - -	de	Melch -	bahle - - - - - - - -	- -	kocht - -	- - -
ab	11539	Kleinschwabhausen	1	Duck - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kollen - - - - - - -	in - -	´n	Ufen - - - - - -	daß - -	- - - - - -	de	Mäch -	bald - - - - - - - -	ſe -	kochen - -	anfängt - -
ab	11568	Thalbürgel	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kollen - - - - - - -	in - -	den	Ufen - - - - - -	daß - -	- - - - - -	die	Melch -	balle - - - - - - - -	zu -	kochen - -	anfangt - -
ab	1157	Bielczyny	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kohla - - - - - - -	in - -	-	Ofa - - - - - -	daß - -	- - - - - -	d'	Milch -	bal - - - - - - - -	z´ -	kochet - -	afangt - -
ab	11586	Bad Köstritz	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kulln - - - - - - -	in - -	-	Ufen - - - - - -	doß - -	- - - - - -	de	Milch -	balle - - - - - - - -	zu -	kuchen - -	onfangt - -
ab	11607	Lumpzig	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kullen - - - - - - -	in - -	-	Ufen - - - - - -	doß - -	- - - - - -	de	Milch -	ball - - - - - - - -	zu -	kuchen - -	onfangt - -
ab	1162	Sierakowo	1	- Lägg - - - - - - - - - -	- - - -	- - - - - - - - - -	Koahle - - - - - - -	ön - -	ne	Oawe - - - - - -	dat - -	- - - - - -	dei	Melk -	boll - - - - - - - -	te -	koaken - -	anfengt - -
ab	11645	Gleismuthhausen	1	Thu - - - - - - - - - - -	- nei - -	- - - - - - - - - -	Kohln - - - - - - -	n - -	-	Uafn - - - - - -	äs - -	- - - - - -	die	Milich -	bal - - - - - - - -	zä -	koche - -	afengt - -
