Index	Bogennummer	REDE_Namen	Sprache	tu	leg	mach	schmeiß	schütt	stopp	steck	gooi	wirf	krieg	holz	gib	Kohle	Scheid	Holz	Grüß	Feuer	Glut	Brand	Torf	in	op	bei	den	Ofen	Kachel	Herd	Stoof	Küche	Feuer2	Kachelofen	dass	dann	damit	tut	wird	soll	kann	beginnt	geht	die	Milch	Rahm	bald	gleich	geschwind	gauw	schnell	rasch	enta	hortig	vlug	zu	mit	kochen	sieden	wellen	anfangen	anheben	ankommen
kl	3744	Rudnica	1	t u ch	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	i n	-	-	n	- - - - - - -	-	-	-	-	-	k a ch e l o w e n	d a t	-	-	-	-	-	-	-	-	d e	m e - l - ch -	-	b a ll - e -	-	-	-	-	-	-	-	-	z e	-	k o - ch e n -	-	-	a n - f a ng e t -	-	-
kl	37555	Stetten bei Haigerloch	1	d ua r	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	i n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	-	m i - l - ch -	-	b a l d - -	-	-	-	-	-	-	-	-	-	-	k o - ch a t -	-	-	- - - - - - - - -	-	-
kl	37571	Salmendingen	1	d ua r	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	i	-	-	d ea	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d ia	m i - l - ch -	-	b a l d - -	-	-	-	-	-	-	-	-	-	-	- - - - - - -	s ui t	-	- - - - - - - - -	-	-
kl	37581	Bernloch	1	dh ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	i n	-	-	d a	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l - ch -	-	b a l d - -	-	-	-	-	-	-	-	-	z	-	k o - ch a - -	-	-	a - - f a ng - t -	-	-
kl	37598	Gundershofen	1	d u r	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	i n	-	-	d e n	- o - f e - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - ll - - -	-	b a l d - -	-	-	-	-	-	-	-	-	-	-	- - - - - - -	s ui d t	-	- - - - - - - - -	-	-
kl	37607	Eggingen	1	d ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	i n	-	-	d a	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	-	m i - l - - -	-	b a l d - -	-	-	-	-	-	-	-	-	-	-	k o - ch a - -	-	-	a n - f a ng - t -	-	-
kl	37622	Holzheim	1	d ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	i n	-	-	d a	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - ll - - -	-	b a l d - -	-	-	-	-	-	-	-	-	s	-	k o - ch a - -	-	-	a - - f a ng - t -	-	-
kl	37658	Oberwaldach	1	dh ue -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	i n	-	-	-	- o - f a - -	-	-	-	-	-	-	d e ß	-	-	-	-	-	-	-	-	d	m i - l - ch -	-	b a l d - -	-	-	-	-	-	-	-	-	z	-	k o - ch a - -	-	-	a - - f ä ng - t -	-	-
kl	37802	Bondorf	1	th u -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	i n	-	-	d e n	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l - ch -	-	b a l d - -	-	-	-	-	-	-	-	-	z	-	k o - ch a - -	-	-	a - - f a ng - t -	-	-
kl	37825	Lustnau	1	d ua r	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	e n	-	-	d e	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l a ch -	-	b a l d - -	-	-	-	-	-	-	-	-	-	-	k o - ch a - -	-	-	a - - f a ng - t -	-	-
kl	37855	Dettingen an der Erms	1	th ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	e n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l a ch -	-	b a l d - -	-	-	-	-	-	-	-	-	z	-	k o - ch - m -	-	-	a - - f a ng - t -	-	-
kl	37862	Donnstetten	1	d ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	e n	-	-	d a	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l a ch -	-	b a l d - -	-	-	-	-	-	-	-	-	z	-	k o - ch a - -	-	-	a n - f a ng - t -	-	-
kl	37869	Radelstetten	1	th ue -	-	-	-	-	-	-	-	-	-	-	-	k oh - l e -	-	-	-	-	-	-	-	e n	-	-	d e	- o - f e - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l - - -	-	b oa l d - -	-	-	-	-	-	-	-	-	z	-	k o - ch - n -	-	-	a n - f ä ng - t -	-	-
kl	37883	Ballendorf	1	d ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	e nn	-	-	d a	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d ui	m ih - l - - -	-	b a l d - -	-	-	-	-	-	-	-	-	z	-	k o - ch ch a -	-	-	a - - f a ng - t -	-	-
kl	37900	Obermedlingen	1	th ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	e n	-	-	d a	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l - ch -	-	b a l d - -	-	-	-	-	-	-	-	-	z	-	k o - ch a - -	-	-	a - - f a ng - t -	-	-
kl	37902	Raumünzach	1	th ue -	-	-	-	-	-	-	-	-	-	-	-	k oh - l e -	-	-	-	-	-	-	-	i n	-	-	d e	- o - f e - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l - ch -	-	b a l - - -	-	-	-	-	-	-	-	-	z	-	k o - ch e - -	-	-	a - - f a ng - t -	-	-
kl	37947	Schönaich	1	th ua r	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	e	-	-	d a	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l a ch -	-	b a l d - -	-	-	-	-	-	-	-	-	z	-	k o - ch a - -	-	-	a - - f a ng - t -	-	-
kl	38044	Hünerberg	1	d ua r	-	-	-	-	-	-	-	-	-	-	-	k oh - l e -	-	-	-	-	-	-	-	e n	-	-	d a	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l - ch -	-	b a l d - -	-	-	-	-	-	-	-	-	d s	-	k o - ch a - -	-	-	a - - f a ng - t -	-	-
kl	38056	Gechingen	1	d ue r	-	-	-	-	-	-	-	-	-	-	-	k oh - l e -	-	-	-	-	-	-	-	e n	-	-	-	- o - f e - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l i ch -	-	- - - - - -	g l ei	-	-	-	-	-	-	-	z	-	k o - ch e - -	-	-	a - - f a ng - t -	-	-
kl	38095	Denkendorf	1	th ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	i n	-	-	d n	- o - f e n -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d ui	m i - l i ch -	-	b a l - - -	-	-	-	-	-	-	-	-	-	-	- - - - - - -	s ui d	-	- - - - - - - - -	-	-
kl	38116	Albershausen	1	d uo -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	e n	-	-	d a	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d ui	m i - l e ch -	-	- - - - - -	-	-	-	-	-	-	-	-	z	-	k o - ch a - -	-	-	a - - f a ng - t -	-	-
kl	38136	Winzingen	1	th ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	i n	-	-	d a	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l - ch -	-	b a l d - -	-	-	-	-	-	-	-	-	z	-	k o - ch a - -	-	-	a n - f a ng - t -	-	-
kl	38146	Zang	1	th ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	i n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l - ch -	-	b a l d - -	-	-	-	-	-	-	-	-	-	-	k o - ch a t -	-	-	- - - - - - - - -	-	-
kl	38155	Auernheim	1	d ue -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	i n	-	-	d a	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l e ch -	-	b a l d - -	-	-	-	-	-	-	-	-	-	-	- - - - - - -	s ie d t	-	- - - - - - - - -	-	-
kl	38169	Dennach	1	d ua r	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	e n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l - ch -	-	b a ll - - -	-	-	-	-	-	-	-	-	z	-	k o - ch a - -	-	-	a - - f a ng - t -	-	-
kl	38182	Tiefenbronn	1	d ue r	-	-	-	-	-	-	-	-	-	-	-	k oh - l e -	-	-	-	-	-	-	-	e n	-	-	d e	- o - f e - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l i ch -	-	b a ll - - -	-	-	-	-	-	-	-	-	z	-	k o - ch e - -	-	-	a n - f a ng - t -	-	-
kl	38348	Schöckingen	1	d ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	i n	-	-	d e	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l - ch -	-	b a l d - -	-	-	-	-	-	-	-	-	z	-	k o - ch a - -	-	-	a n - f a ng - t -	-	-
kl	38373	Hegnach	1	d ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	e n	-	-	d a	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d ui	m i - l a ch -	-	b a l d - -	-	-	-	-	-	-	-	-	z	-	k o - ch a t -	-	-	a - - f a ng - t -	-	-
kl	38407	Steinenberg	1	d ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	e n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l e ch -	-	b a l - - -	-	-	-	-	-	-	-	-	z	-	k o - ch a n -	-	-	a - - f a ng - t -	-	-
kl	38422	Ruppertshofen	1	d ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	e n	-	-	d a	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m ia - - - ch -	-	b a l d - -	-	-	-	-	-	-	-	-	z	-	k o - ch a - -	-	-	a - - f a ng - t -	-	-
kl	38437	Fachsenfeld	1	d ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	e n	-	-	d a n	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l - ch -	-	b a l d - -	-	-	-	-	-	-	-	-	z	-	k o - ch a - -	-	-	a - - f a ng - t -	-	-
kl	38448	Baldern	1	th ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	i n	-	-	d e	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d ia	m i - l - - -	-	b a l d - -	-	-	-	-	-	-	-	-	z	-	k o - ch a - -	-	-	a - - f a ng - t -	-	-
kl	38482	Kleinvillars	1	d ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	e n	-	-	d a r	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - ll i ch -	-	b a ll - - -	-	-	-	-	-	-	-	-	z	-	k o - ch a - -	-	-	ah - - f a ng - t -	-	-
kl	38502	Hohenhaslach	1	d u r	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	e n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l - ch -	-	b a ll - - -	-	-	-	-	-	-	-	-	-	-	- - - - - - -	s ia d	-	- - - - - - - - -	-	-
kl	38623	Nendingen	1	d ua -	-	-	-	-	-	-	-	-	-	-	-	k o - ll a -	-	-	-	-	-	-	-	i n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l - ch -	-	b a l d - -	-	-	-	-	-	-	-	-	z	-	k o - ch a - -	-	-	a - - f ä ng - t -	-	-
kl	38640	Rohrdorf	1	d ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l e -	-	-	-	-	-	-	-	i n	-	-	-	- o - f e - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l - ch -	-	- - - - - -	-	-	-	-	-	-	-	-	-	-	k o - ch e - -	-	-	a n - f a ng - t -	-	-
kl	38655	Völlkofen	1	th ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l e -	-	-	-	-	-	-	-	e n	-	-	d e	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l - ch -	-	b a l d - -	-	-	-	-	-	-	-	-	z u	-	k o - ch a - -	-	-	a n - f ä ng - t -	-	-
kl	38666	Reichenbach	1	d ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	i n	-	-	d a	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - ll - - -	-	b a l d - -	-	-	-	-	-	-	-	-	-	-	- - - - - - -	s ie d t	-	- - - - - - - - -	-	-
kl	38682	Mittelbuch	1	d u r	-	-	-	-	-	-	-	-	-	-	-	k o - l e -	-	-	-	-	-	-	-	i n	-	-	d e	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - ll - - -	-	- - - - - -	g l ei	-	-	-	-	-	-	-	-	-	k o - ch e - -	-	-	a - - f a ng - t -	-	-
kl	38695	Unteropfingen	1	th ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	i n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - ll - - -	-	b a l d - -	-	-	-	-	-	-	-	-	-	-	k o - ch a - -	-	-	a - - f a ng - t -	-	-
kl	3871	Dreetz	1	- - -	-	-	-	sch ü tt	-	-	-	-	-	-	-	k oah - l e n	-	-	-	-	-	-	-	i n	-	-	d e n	- oa - w e n -	-	-	-	-	-	-	d e t	-	-	-	-	-	-	-	-	d e	m e - l - k -	-	b a l d - -	-	-	-	-	-	-	-	-	t o	-	k oa - k e n -	-	-	a n - f ä ng - t -	-	-
kl	38720	Kicklingen	1	d ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	i n	-	-	d a	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	-	m i - l - ch -	-	b a l d - -	-	-	-	-	-	-	-	-	-	-	k o - ch - t -	-	-	- - - - - - - - -	-	-
kl	38738	Westendorf	1	d ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	i n	-	-	d a	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - ll i - -	-	b a l d - -	-	-	-	-	-	-	-	-	z	-	k o - ch a - -	-	-	a - - f a ng - t -	-	-
kl	38764	Waidhofen	1	d ua -	-	-	-	-	-	-	-	-	-	-	-	k öi - - - n	-	-	-	-	-	-	-	a n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a d	-	-	-	-	-	-	-	-	-	m i - ll i - -	-	b a i f - -	-	-	-	-	-	-	-	-	-	-	- - - - - - -	s ia dd	-	- - - - - - - - -	-	-
kl	38774	Eschelbach an der Ilm	1	t ua -	-	-	-	-	-	-	-	-	-	-	-	k oi - - - n	-	-	-	-	-	-	-	a n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m ei - - - ch -	-	b a i d - -	-	-	-	-	-	-	-	-	s	-	k o - ch a - -	-	-	o - - f a ng - t -	-	-
kl	3880	Brunne	1	d u ch	-	-	-	-	-	-	-	-	-	-	-	k oa - l e n	-	-	-	-	-	-	-	i n	-	-	d ae n	- ah - - u n -	-	-	-	-	-	-	d ae t	-	-	-	-	-	-	-	-	d iee	m e - l - k -	-	b a ll - e -	-	-	-	-	-	-	-	-	t ue	-	k oa - k e n -	-	-	a n - f ä ng - t -	-	-
kl	38863	Pöttmes	1	th ua -	-	-	-	-	-	-	-	-	-	-	-	k oi - - - n	-	-	-	-	-	-	-	a n	-	-	-	- o - f a - -	-	-	-	-	-	-	d e ß	-	-	-	-	-	-	-	-	d	m üh - - - - -	-	b a i - - -	-	-	-	-	-	-	-	-	s	-	k o - ch a - -	-	-	o - - f a ngg - - -	-	-
kl	3887	Sommerfeld	1	- - -	-	-	sch m i t	-	-	-	-	-	-	-	-	k ooh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- - - - - - -	-	-	-	-	-	k a ch e l a n	d ä t	-	-	-	-	-	-	-	-	d e	m e - l - k -	-	b a ll - e -	-	-	-	-	-	-	-	-	t o	-	k o - k e n -	-	-	a n - f a ng - t -	-	-
kl	38899	Hebrontshausen	1	th ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	e n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l - ch -	-	b ao l d - -	-	-	-	-	-	-	-	-	s	-	- - - - - - -	s ie r n	-	o - - f a ng - t -	-	-
kl	38912	Oberglaim	1	th u -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l i - -	-	b a l d - -	-	-	-	-	-	-	-	-	z	-	- - - - - - -	ie d n	-	o - - f a ng - t -	-	-
kl	38935	Fronhofen	1	d ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	i n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	-	m i - l - ch -	-	b a l d - -	-	-	-	-	-	-	-	-	-	-	k o - ch - t -	-	-	- - - - - - - - -	-	-
kl	3896	Malz	1	- - -	-	-	-	sch ü dd e	-	-	-	-	-	-	-	k ao - l e n	-	-	-	-	-	-	-	i n	-	-	d e n	- o - b e n -	-	-	-	-	-	-	d e t	-	-	-	-	-	-	-	-	d e	m e - l - k -	-	b a ll - e -	-	-	-	-	-	-	-	-	t o	-	k o - ch e n -	-	-	a n - f a ng - t -	-	-
kl	38963	Stepperg	1	th ua -	-	-	-	-	-	-	-	-	-	-	-	k uh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- o - f - n -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l - ch -	-	b a ll - - -	-	-	-	-	-	-	-	-	-	-	- - - - - - -	s iea d t	-	- - - - - - - - -	-	-
kl	3901	Stolzenhagen	1	d ue -	-	-	-	-	-	-	-	-	-	-	-	k ua - l e n	-	-	-	-	-	-	-	i n	-	-	d ä n	- - - - - - -	k a ch e l n	-	-	-	-	-	d ä t	-	-	-	-	-	-	-	-	d ie	m ä - l - k -	-	b a ll - e -	-	-	-	-	-	-	-	-	t h ue	-	k ah - e - n -	-	-	a n - f a ng e t -	-	-
kl	3906	Prenden	1	th ue -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	i n	-	-	d e n	- - - - - - -	-	-	-	-	-	k a ch e l ah n	d ä t	-	-	-	-	-	-	-	-	d ie	m e - l - k -	-	b a ll - e -	-	-	-	-	-	-	-	-	t ue	-	k ah - n - - -	-	-	a n - f a ng - t -	-	-
kl	39062	Hafenreut	1	th ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	i n	-	-	d e	- o - f e n -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - ll - - -	-	b a l d - -	-	-	-	-	-	-	-	-	z	-	k o - ch a - -	-	-	a - - f a ng - t -	-	-
kl	39089	Gerolfing	1	d au -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- o - ff a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l ö - -	-	b a i d - -	-	-	-	-	-	-	-	-	-	-	k o - ch a - -	-	-	o - - f a ng - t -	-	-
kl	39103	Irsching	1	th ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l - ch -	-	- - - - - -	-	-	-	-	-	-	-	-	z ua	-	- - - - - - -	s ia d a	-	a - - f a ng - t -	-	-
kl	39116	Siegenburg	1	d ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m e - l - ch -	-	b a l d - -	-	-	-	-	-	-	-	-	-	-	k o - ch a - -	-	-	o n - f a ng - t -	-	-
kl	39126	Semerskirchen	1	t ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	-	m ui - - - ch -	-	b a l d - -	-	-	-	-	-	-	-	-	s	-	k o - ch a - -	-	-	a n - f a ng - t -	-	-
kl	39140	Hofkirchen	1	d ou -	-	-	-	-	-	-	-	-	-	-	-	k oi - - - n	-	-	-	-	-	-	-	i n	-	-	-	- o - f a - -	-	-	-	-	-	-	d ooa s	-	-	-	-	-	-	-	-	-	m u - l - - -	-	b o i d - -	-	-	-	-	-	-	-	-	z	-	k o - ch a - -	-	-	a - - f a ng - t -	-	-
kl	39160	Dürrenzimmern	1	th ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	i n	-	-	d a	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l a ch -	-	b a l d - -	-	-	-	-	-	-	-	-	-	-	- - - - - - -	s ia d	-	- - - - - - - - -	-	-
kl	39179	Gundelsheim	1	th ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	t h ua t	-	-	-	-	-	d	m i - ll i - -	-	b a l d - -	-	-	-	-	-	-	-	-	-	-	k o - ch a - -	-	-	- - - - - - - - -	-	-
kl	3919	Trampe	1	th u -	-	-	-	-	-	-	-	-	-	-	-	k oa - l e n	-	-	-	-	-	-	-	i n	-	-	d e n	- - - - - - -	-	-	-	-	-	k a ch e l ah n	d e t	-	-	-	-	-	-	-	-	d iee	m e - l - k -	-	b a l d - -	-	-	-	-	-	-	-	-	t u	-	k o - ch e n -	-	-	a n - f a ng - t -	-	-
kl	39201	Walting	1	th ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	e n	-	-	-	- o - f e r -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l i - -	-	b a l - - -	-	-	-	-	-	-	-	-	s	-	k o - ch a - -	-	-	o n - f a ng - t -	-	-
kl	39293	Bieswang	1	th ou -	-	-	-	-	-	-	-	-	-	-	-	k uh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- u - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l - ch -	-	b a ll - - -	-	-	-	-	-	-	-	-	z	-	k o - ch a - -	-	-	uh - - f a ng - t -	-	-
kl	3931	Neureetz	1	d u ch	-	-	-	-	-	-	-	-	-	-	-	k oh - l e n	-	-	-	-	-	-	-	i n	-	-	n	- - - - - - -	-	-	-	-	-	k a ch e l a w e n	d e t	-	-	-	-	-	-	-	-	d e	m e - l - k -	-	b a ll - e -	-	-	-	-	-	-	-	-	t o	-	k o - ch - n -	-	-	a n - f a ng - t -	-	-
kl	39317	Pondorf	1	th ou -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- o - f e r -	-	-	-	-	-	-	d a s	-	-	-	-	-	-	-	-	d	m ü - l - ch -	-	b a l - - -	-	-	-	-	-	-	-	-	s	-	k o - ch a - -	-	-	a - - f a ng - t -	-	-
kl	39329	Neukelheim	1	th ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- o - f - n -	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	m i - l - ch -	-	b a l d - -	-	-	-	-	-	-	-	-	-	-	- - - - - - -	s ia d t	-	- - - - - - - - -	-	-
kl	39342	Peising	1	th ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a s	-	-	-	-	-	-	-	-	d	m i - l - ch -	-	b a l - - -	-	-	-	-	-	-	-	-	z	-	k o - ch a - -	-	-	a - - f a ng - t -	-	-
kl	39356	Arlesried	1	d ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	e n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - ll - - -	-	b a l d - -	-	-	-	-	-	-	-	-	-	-	k o - ch a - -	-	-	a - - f a ng - t -	-	-
kl	39370	Türkheim	1	d ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	i n	-	-	d a	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - ll - - -	-	b a l d - -	-	-	-	-	-	-	-	-	z	-	k o - ch a - -	-	-	a - - f a ng - t -	-	-
kl	39398	Gauting	1	th u -	-	-	-	-	-	-	-	-	-	-	-	k oi - - - n	-	-	-	-	-	-	-	a n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	w e r d	-	-	-	-	d	m ui - - - - -	-	b o i - - -	-	-	-	-	-	-	-	-	-	-	- - - - - - -	-	-	- - - - - - - - -	-	-
kl	3944	Kurzycko	1	th ua -	-	-	-	-	-	-	-	-	-	-	-	k oah - l - n	-	-	-	-	-	-	-	i n	-	-	n	- a - w e n -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	d e	m e - l - k -	-	b a ll - - -	-	-	-	-	-	-	-	-	t o	-	k oa - k e n -	-	-	a n - f ä ng - t -	-	-
