Index	Bogennummer	REDE_Namen	Sprache	tu	leg	mach	schmeiß	schütt	stopp	steck	gooi	wirf	krieg	holz	gib	Kohle	Scheid	Holz	Grüß	Feuer	Glut	Brand	Torf	in	op	bei	den	Ofen	Kachel	Herd	Stoof	Küche	Feuer2	Kachelofen	dass	dann	damit	tut	wird	soll	kann	beginnt	geht	die	Milch	Rahm	bald	gleich	geschwind	gauw	schnell	rasch	enta	hortig	vlug	zu	mit	kochen	sieden	wellen	anfangen	anheben	ankommen
ab	10709	Aremberg	1	d o -	-	-	-	-	-	-	-	-	-	-	-	k o - ll e n	-	-	-	-	-	-	-	e n	-	-	d e n	- o - f e n -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	d ie	m e - l - ch -	-	b a l - - -	-	-	-	-	-	-	-	-	z u	-	k au - ch e n -	-	-	a n - f ä ng - t -	-	-
ab	10736	Hohenleimbach	1	d o n	-	-	-	-	-	-	-	-	-	-	-	k o - ll e -	-	-	-	-	-	-	-	e n	-	-	d e	- o - w e - -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	d e	m e - ll e ch -	-	b ah l - - -	-	-	-	-	-	-	-	-	z e	-	k o - ch e - -	-	-	e n - f ä ng - d -	-	-
ab	10857	Hatzfeld (Eder)	1	d u -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	e n	-	-	d ä	- o - w e - -	-	-	-	-	-	-	d e ß	-	-	-	-	-	-	-	-	d e	m ä - l - ch e	-	b ah l - e -	-	-	-	-	-	-	-	-	z e	-	k o - ch e - -	-	-	oh n - f ä ng - t -	-	-
ab	10974	Haindorf	1	d ou -	-	-	-	-	-	-	-	-	-	-	-	k o - ll - n	-	-	-	-	-	-	-	i n	-	-	-	- o - f e - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d e	m e - l i ch -	-	b a l - - -	-	-	-	-	-	-	-	-	z e	-	k o - ch e - -	-	-	ou - - f ä ng - t -	-	-
ab	110	Rozpedziny	1	d o -	-	-	-	-	-	-	-	-	-	-	-	k oh - l e -	-	-	-	-	-	-	-	i n	-	-	d e	- o - f e - -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	d e	m e - l - k -	-	b o l - - -	-	-	-	-	-	-	-	-	t o	-	k o - k e - -	-	-	a n - f ä ng - t -	-	-
ab	11132	Schwarzwald	1	d u -	-	-	-	-	-	-	-	-	-	-	-	k o - ll - n	-	-	-	-	-	-	-	i n	-	-	d e n	- ue - f e n -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d e	m e - l i ch -	-	b a l - - -	-	-	-	-	-	-	-	-	z e	-	k o - ch e n -	-	-	oa n - f ä ng - t -	-	-
ab	11149	Wipfra	1	th u k	-	-	-	-	-	-	-	-	-	-	-	k o - ll e n	-	-	-	-	-	-	-	i n	-	-	d n	- ue - f e n -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d e	m e - l - ch -	-	b ah l - - -	-	-	-	-	-	-	-	-	z e	-	k o - ch e n -	-	-	oa n - f ä ngk - t -	-	-
ab	11180	Remda	1	t u ck	-	-	-	-	-	-	-	-	-	-	-	k o - ll - n	-	-	-	-	-	-	-	i n	-	-	-	- u - f e n -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d e	m e - l - ch -	-	b a l d - -	-	-	-	-	-	-	-	-	z	-	k o - ch e n -	-	-	a n - f ä ng - t -	-	-
ab	11197	Zeutsch	1	th u -	-	-	-	-	-	-	-	-	-	-	-	k uh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- u - f e n -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d ie	m i - l - ch -	-	b a l d - -	-	-	-	-	-	-	-	-	-	m i t z u	k u - ch e n -	-	-	oh n - f ä ng - t -	-	-
ab	11212	Breitenhain	1	th u -	-	-	-	-	-	-	-	-	-	-	-	k uh - l e n	-	-	-	-	-	-	-	i n	-	-	-	- u - f e n -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d e	m i - l - ch -	-	b a l d - -	-	-	-	-	-	-	-	-	z u	-	k o - ch e n -	-	-	a n - f ä ng - t -	-	-
