Ort::REDE_GIDs	Ort::Longitude	Ort::Latitude	Bogennummer	Ort::Name	Ort::Sprache	Transliteration WS34
138765	13,61631	50,94387	12969	BORLAS	1	- Dos - Wort - kam ihn - - vun Härzen. - -
140821	13,85701	50,95464	13005	DOHNA	1	- Dos - Woet - kohm ihm - - vum Harz’n - -
142852	14,13042	50,93992	13019	PORSCHDORF	1	- Das - Wort - kam’ m - - von Herzen! - -
542319	12,51314844	50,4441744	13047	MORGENRￃﾖTHE	1	- Des - Wort - kam ihm - - von Herzen. - -
140498	12,80099	50,47348	13054	RITTERSGRￃﾜN	1	- Dos - Wort - kame - - - von Herzen. - -
374882	16,93735	53,43084	1315	KAMIEN	1	- Das - Wot - kamm emm - - vom Hatä - -
139321	12,54046	50,61237	13169	SAUPERSDORF	1	- Dos - Wort - kame - - - vun Harzen. - -
542348	12,800879	50,61883463	13187	KￃﾜHNHEIDE	1	- Dos - Wort - kám ne - - vun Hàrzen! - -
138641	13,06058	50,62587	13210	HIMMELMￃﾜHLE	1	- Doas - Wort - koam nă - - von Harzen! - -
139696	13,30128	50,59763	13226	RￃﾜBENAU	1	- Das - Wort - kam ihm - - vun Harzen! - -
139438	12,54647	50,76709	13269	THURM	1	- Das - Wurt - kam ihm - - vun Härzen. - -
142276	12,7795	50,77904	13286	URSPRUNG	1	- Dos - Wort - koam [me?] - - von Harzen - -
160646	15,51756	53,76575	133	SOSNOWO	1	- Dat - Woat - kam em - - va Herza - -
138434	13,05066	50,78027	13317	DITTMANNSDORF	1	- Dos - Wort - kam’ n - - von Harzen! - -
142819	13,31924	50,79728	13340	GROSSHARTMANNSDORF	1	- Des - Wórd - kimmd n - - vón Harzn! - -
140851	13,56587	50,80319	13355	REICHENAU	1	- Das - Wourt - kam ihm - - von Herzen. - -
139047	13,85538	50,78575	13372	LIEBENAU	1	- Das - Wort - kam’ m - - vun Harzen! - -
534933	17,75795578	53,42095415	1338	DZIDNO	1	- Dat - Wöt - käm ehm - - vom Hata. - -
542404	15,72674275	50,77629276	13529	WANG-BRￃﾜCKENBERG	1	- Dos - Wuhrt - koam’ m - - vum Harze! - -
389165	15,95486	50,78753	13543	PISARZOWICE	1	- Dos - Wurt - kom’ n - - fun Herze. - -
386686	16,20743	50,75691	13559	BOGUSZOW-GORCE	1	- Doas - Wurt - koam ihm - - vum Harza! - -
542439	14,65276544	50,9556005	13655	NIEDERLEUTERSDORF/LEUTERSDORF	1	- Das döcke(döche) Wuhrt - kam m - - vu Harzen. - -
542448	14,90152069	50,94685019	13678	ROHNAU (-)	1	- Doas - Wuhrt - koam’ n - - vo͂ Harzen. - -
386289	15,44277	50,95309	13700	REBISZￃﾓW	1	- Dos - Wurt - kohm ihm - - vum Harza. - -
529888	15,69243	50,94016	13719	SIEDLECIN	1	- Doas - Wurt - koam im - - vum Harzn. - -
385883	15,97695	50,9281	13727	MYSLOW	1	- Do͡as - Wort - ko͡am ihm - - vom Harzen. - -
391578	16,24996	50,94262	13745	JUGOWA	1	- Doas - Woart - koam’ m - - vom Harze. - -
386406	16,47306	50,57075	13830	WLODOWICE	1	- Dos - Wort - kam’ m - - vo Herza. - -
388750	17,01494	50,57111	13869	BIERNACICE	1	- Das - Wiärtla - kom - - - aus Harze. - -
391919	17,28777	50,56603	13887	RZYMIANY	1	- Dos - Wurt - kom ihm - - vo Herzen - -
388785	17,54127	50,56379	13898	SZADURCZYCE	1	- Do͡as - Wurt - ko͡am im - - vum Harzen. - -
390808	16,75132	50,60111	13929	STOSZOWICE	1	- Doas - Wurt - koam ihm - - vum Harza - -
367140	16,49574	50,74669	13996	LUTOMIA GORNA	1	- Doas - Wohrt - koam’ m - - vum Harze. - -
388492	16,7247	50,74663	14023	ROZTOCZNIK	1	- Dos - Wort - kom’ m - - vum Herzen - -
158526	15,53822	53,61301	1403	DOBIESZEWO	1	- Dat - Woat - keim em - - va Herza! - -
366619	16,98938	50,73384	14034	LIPOWA	1	- Doas - Woort - koam m - - vo Herza! - -
