Index	Bogennummer	REDE_Namen	Sprache	IM	DES	-	WINTER	FLIEGEN	DIE	TROCKENEN	BLATTER	LAAB	DURCH	IN	LUFT	HERUM	UMEINANDER	RUND	UMBEI	__parsed_extra
mn	42970	Sargans	1	I m	-	-	W i n t e r - -	f l ü g n - - - - - - -	d r	t r u c h n ä	B l ä t t r	-	-	i n	L u f t	u m ä - - - - - - - - - -	- - - - - - - - - - - -	-	-	-
mn	42977	Schruns	1	J m	-	-	W i n t e r - -	f l ü g e n - - - - - -	d ’ r	t r o c k n e	B l ä t t e r	-	-	i	L o f t	- - - - - - - - - - - - -	- o m a n a n d - - - -	-	-	-
mn	42985	Vils	1	I m	-	-	W i n t e r - -	f l ia g e - - - - - - -	d e r	-	B l ä t t e r	-	-	i	L u f t	- - - - - r u m - - - - -	- - - - - - - - - - - -	-	-	-
mn	43004	Hinterhornbach	1	I m	-	-	W i n t - r - -	f l i é g ê - - - - - -	d r	t r u c k e n ê	B l ö t t r	-	-	i	L u f t	u m - - - - - - - - - - -	- - - - - - - - - - - -	-	-	-
mn	43013	Rinnen	1	I m	-	-	W i n t - r - -	f l i a g e ̊ - - - - -	d ' r	d r u c k n e ̊	B l e t t r	-	-	i	L u f t	- - - - - - - - - - - - -	- u m - - a n a n d - -	-	-	-
mn	43021	Ehrwald	1	I m	-	-	W i n t e r - -	f l i e a g a - - - - -	d e r	t r u c k n å	B l ö i t e r	-	-	i	L u f d	u m - - e - - - - - - - -	- - - - - - - - - - - -	-	-	-
mn	43022	Leutasch	1	I n	-	-	W i n t e r - -	f l ia g - n - - - - - -	d e r	t r u c k n a n	B l ö t t e r	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m - - a n o n d - -	-	-	-
mn	43027	Bach	1	I m	-	-	W i n t e r - -	f l i a g a - - - - - -	d e r	t r u c k n a	B l ö t t e r	-	-	i	L u f t	u mm - - a - - - - - - - -	- - - - - - - - - - - -	-	-	-
mn	43037	Silzerberg	1	I n	-	-	W i n t e r - -	f l ie g - n - - - - - -	d e r	t r u c k n e n	B l ö t t e r	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m a n å n d e r - -	-	-	-
mn	43055	Hatting	1	I m	-	-	W i n t e r - -	f l ia g - n - - - - - -	d e r	-	B l a t t l a n	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m a n o n d a r - -	-	-	-
mn	4306	Deetz	1	I m	-	-	W i n t e r - -	f l e h ' n - - - - - -	d e	d r ö h e n	B l ä d e r	-	d ö r c h	-	L u f t	u m e h e r - - - - - - -	- - - - - - - - - - - -	-	-	-
mn	43070	Mils bei Imst	1	I n	-	-	W i n t e r - -	f l i a g a - - - - - -	d a r	t r u c k n a	-	L ö b e r	-	i	L u f t	ŭ m h a - - - - - - - - -	- - - - - - - - - - - -	-	-	-
mn	43122	Unterried	1	I m	-	-	W i n t - r - -	f l ia g e n - - - - - -	d r	t r u c k n e n	-	L ö b r	-	i n	L u f t	u m h a - - - - - - - - -	- - - - - - - - - - - -	-	-	-
mn	43133	Holdernach	1	-	D a	-	W i n t a r - -	f l i a g a - - - - - -	d a	t r u c k m s	-	L ö b a r	-	i n	L ü f t	u mm - - a - - - - - - - -	- - - - - - - - - - - -	-	-	-
mn	43152	Kauns	1	I m	-	-	W ü n t - r - -	f l i a g a - - - - - -	d r	t r u c k n a	B l ö t t r	-	-	i n	L u f t	u m c h a - - - - - - - -	- - - - - - - - - - - -	-	-	-
mn	43161	Unterberg	1	I n	-	-	W i n t e r - -	f l ia g - n - - - - - -	d e r	t r u k ' n e n	B l a t t l n	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m - - a n a n d e r	-	-	-
mn	43162	Pertisau	1	O n	-	-	W i n t e r - -	f l ia g - n - - - - - -	d a	t r u c k n a	-	L a b ä	-	a	L u f t	- - - - - - - - - - - - -	- u m a n ä n d - - - -	-	-	-
mn	43173	Brixlegg	1	I n	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k n a	-	L a b a	-	i n	L u f t	- - - - - - - - - - - - -	- u m - - a n o n d - -	-	-	-
mn	43183	Penningdörfl	1	I m	-	-	W i n t a - - -	f l iea g - n - - - - - -	d a	t r o c k n e n	B l ä t t a	-	-	i n	L u f t	- - - h e r u m - - - - -	- - - - - - - - - - - -	-	-	-
mn	4321	Fahrland	1	I n ' n	-	-	W i n t e r - -	f l e e n - - - - - - -	d i e	d r ö h e	B l ä t t e r	-	d ö r c h	-	L u f t	ü m h ä e - - - - - - - -	- - - - - - - - - - - -	-	-	-
mn	43210	Innsbruck	1	I n	-	-	W i n t e r - -	f l ia g - n - - - - - -	e h r	t r o c k n e n	B l ä t t e r	-	-	i n	L u f t	- - - - - - u m e - - r -	- - - - - - - - - - - -	-	-	-
mn	43224	Kolsassberg	1	I m	-	-	W i n t a - - -	f l ia g - n - - - - - -	d e r	t r u c k n e n	B l a t t l a	-	-	a n	L u f t	- - - - - - - - - - - - -	- - - - - - - - - - - -	-	-	d i m a n
mn	43251	Aschau im Zillertal	1	A m	-	-	W i n t e r - -	f l ia g - n - - - - - -	d e r	t r u c k n e n	-	L a b a	-	i n	L u f t	- - - - - - - - - - - - -	- u m - - a n o n d - -	-	-	-
mn	43280	Krimml	1	A n	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k n a n	B l a t t l	-	-	a	L u f t	- - - - - - - - - - - - -	- u m a n o ̊ n n a - -	-	-	-
mn	43285	Trins	1	I n	-	-	W i n t - r - -	f l ie g - n - - - - - -	d r	t r u c k n e n	B l a t t l a r	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m - - a n o n d e r	-	-	-
mn	43288	Dornauberg	1	E n i	-	-	W i n t - r - -	f l i e g n d - - - - -	d r	t r u c k n e n	B l a t l a r	-	-	e i	L u f t	u m h a r - - - - - - - -	- - - - - - - - - - - -	-	-	-
mn	4329	Steglitz	1	I m	-	-	W i n t e r - -	f l e h e n - - - - - -	d e	d r o h e	B l ä d e r	-	d ö r c h	-	L u f t	- - - - - r u m - - - - -	- - - - - - - - - - - -	-	-	-
mn	43297	Schmirn	1	N	-	-	W i n t - r - -	f l ie g - n - - - - - -	d e r	t r u c k n e n	B l ö t e r	-	-	e	L u f t	- - - - - - - - - - - - -	- u m m e n å n d e r -	-	-	-
mn	43301	Kitzbühel	1	N '	-	-	w i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k n a	B l a t t l	-	-	a	L u f t	u m - - a - - - - - - - -	- - - - - - - - - - - -	-	-	-
mn	43303	Hochfilzen	1	I n	-	-	W i n t a - - -	f l ia g - n - - - - - -	d e r	t r u c k e n e	B l a t t l	-	-	i n	L u f t	u m m e r - - - - - - - -	- - - - - - - - - - - -	-	-	-
mn	43310	Saalfelden am Steinernen Meer	1	A n	-	-	W i n tt a - - -	f l ia g - n - - - - - -	d a	d r u c k n a	B l a t t l	-	-	a	L u f t	- - - - - - - - - - - - -	- u m ̄ a n o n t t - -	-	-	-
mn	43315	Werfen	1	I n	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k n a	B l ö d d a	-	-	i n	L u f t	u m - - a - - - - - - - -	- - - - - - - - - - - -	-	-	-
mn	43331	Bramberg am Wildkogel	1	N ’	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	d r u c k n a	B l a t l	-	-	a	L u f t	- - - - - - - - - - - - -	- u m - - a n å n d - -	-	-	-
mn	43340	Niedernsill	1	A n	-	-	W i n d a - - -	f l o i g t - - - - - -	d a	d i e	-	L a b	-	a	L u f t	- - - - - - - - - - - - -	- u m a n o a n - - - -	-	-	-
mn	43347	Sankt Georgen	1	I n	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k n a	B l a t t l	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m - - a n o n d - -	-	-	-
mn	43354	Goldegg	1	E n	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k n a	B l ö t t a	-	-	ö	L u f t	- - - - - - - - - - - - -	- u m a n a n t - - - -	-	-	-
mn	43359	Kleinarl	1	A n	-	-	W i n d a - - -	f l oi g - n - - - - - -	d a	t r u c k a n	B l a d l	-	-	a	L u f t	u m - - a d u m - - - - -	- - - - - - - - - - - -	-	-	-
mn	43372	Bad Gastein	1	I n	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u k n a	B l a t t l n	-	-	ö	L u f t	- - - - - - - - - - - - -	- u m - - a n å n d a -	-	-	-
mn	43378	Berg-Gruben	1	I n	-	-	W i n t a - - -	f l oi g - n - - - - - -	d a	t r u c k n i n	B l ä t t a	-	-	i n	L u f t	u m h a - - - - - - - - -	- - - - - - - - - - - -	-	-	-
mn	43379	Heiligenblut	1	I n	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u k n e n	B l e i t a	-	-	i n	L u f t	u m - - a - - - - - - - -	- - - - - - - - - - - -	-	-	-
mn	4338	Köpenick-Kietz	1	I m	-	-	W i n t e r - -	f l e g e n - - - - - -	d i e	d r o c k e n e n	B l ä t t e r	-	d ö r c h	-	L u f t	- - - h e r ü m - - - - -	- - - - - - - - - - - -	-	-	-
mn	43381	Sankt Martin am Tennengebirge	1	I n	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u k a n	B l a t t l	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m - - a n a n d - -	-	-	-
mn	43384	Ramsau	1	I n	-	-	W i n t a - - -	f l ie g - - t - - - - -	-	-	-	L a b	-	-	-	- - - - - - - - - - - - -	- u m - - a n å n d a -	-	-	-
mn	43391	Assach	1	I n	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k n a	B l a t t l a	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m - - a n å n - a -	-	-	-
mn	43393	Donnersbach	1	I m	-	-	W i n d a - - -	f l i a g a n d - - - -	d a	t r o c k n a	B l a t t l a	-	-	i n	L u f t	- - - - - - - - - - - - -	- a m a n a n d a - - -	-	-	-
mn	43412	Untertauern	1	E n	-	-	W i n t a - - -	f l ia ng - - - - - - - -	d a	t r u c k n a	B l a t t l	-	-	ö	L u f t	- - - - - - - - - - - - -	- u m - - a n a n d - -	-	-	-
mn	43420	Pöllau	1	I n	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k n a n	B l ä i t t a	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m - - a n au n d - -	-	-	-
mn	43427	Oberweissburg	1	E n	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k n a	B l a t t l a	-	-	e	L u f t	- - - - - - - - - - - - -	- u m - - a n o n d - -	-	-	-
mn	43433	Sauerfeld	1	A n	-	-	W i n t å - - -	f l ia g - n - - - - - -	d a	t r u k n a	B l a t t l a	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m - - a n å n d a -	-	-	-
mn	43439	Ranten	1	I m	-	-	W i n t e r - -	f l i a g - - - - - - -	d a	t r u k n e	-	L a b	-	i n	L u f t	- - - - - - - - - - - - -	- u m - - a n å n d - -	-	-	-
mn	43453	Strechen	1	I m	-	-	W i n t e r - -	f l ia g - n - - - - - -	d a	t r u c k n a n	B l a t t l n	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m - - a n o n d - -	-	-	-
no	43455	Treglwang	1	I m	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k n a n	B l a t t l	-	-	i n	L u f t	u m - - a - - - - - - - -	- - - - - - - - - - - -	-	-	-
no	43457	Kalwang	1	I m	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k n a n	B l ä t t a	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m - - a n o n d a -	-	-	-
no	43458	Trofaiach	1	I n	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k n a n	B l a t t l n	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m - - a n o n d - -	-	-	-
no	43462	Hafendorf	1	I n	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k n a n	B l a t t l n	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m a n a u n a - - -	-	-	-
no	4347	Herzfelde	1	I n ' n	-	-	W i n t e r - -	f l e h - n - - - - - -	d e	d r e i e	B l ä d e r	-	d ö r c h	-	L u f t	r u m h e h - - - - - - -	- - - - - - - - - - - -	-	-	-
no	43480	Sankt Michael in Obersteiermark	1	I m	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u k a n a n	B l a t l	-	-	i n	L u f t	- - - h a r u m - - - - -	- - - - - - - - - - - -	-	-	-
no	43488	Pusterwald	1	I m	-	-	W i n t a - - -	f l ia g - n - - - - - -	d e	t r u c k n e n	B l a t t l a	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m - - a n au n d - -	-	-	-
no	43489	Sankt Oswald	1	I m	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k a n	B l a t t l	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m m a n a n d - - -	-	-	-
no	43494	Sankt Marein bei Knittelfeld	1	I n	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r i k n a n	B l a t t l n	-	-	i n	L u f t	- - - - - - - - - - - - -	- a m a n a n d - - - -	-	-	-
no	43497	Frohnleiten	1	I n	-	-	W í n d a - - -	f l í a g ' n - - - - -	d '	d r u c k n a n	B l a d d l n	-	-	i n	L u f t	u m - - a d u m - - - - -	- - - - - - - - - - - -	-	-	-
no	43505	Sankt Peter ob Judenburg	1	I n	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k n a n	B l a t t l	-	-	e n ̄	L u f t	- - - - - - - - - - - - -	- u m - - a n o n d - -	-	-	-
no	43530	Teufenbach	1	I m	-	-	W i n t a - - -	f l ia g e n - - - - - -	d a	t r u c k n a n	B l ä t t a	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m - - a n o n d a -	-	-	-
no	43534	Sankt Johann	1	I m	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k n a n	B l a t t l	-	-	i n	L u f t	u m - - a - - - - - - - -	- - - - - - - - - - - -	-	-	-
no	43537	Kainach bei Voitsberg	1	I m	-	-	W i n t a - - -	f l ia g - n - - - - - -	d e r	t r u c k n a n	B l a t t l a	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m a n u n d - - - -	-	-	-
no	43544	Gratwein	1	I m	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k n a n	B l ö t t a	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m - - a n a n d - -	-	-	-
no	4357	Tempelberg	1	I m	-	-	W i n t e r - -	f l i e e n - - - - - -	d i e	d r e h e n	B l ä d e r	-	d u r c h	-	L u f t	- - - h e r u m - - - - -	- - - - - - - - - - - -	-	-	-
no	43576	Fochnitz	1	I m	-	-	W i n t a - - -	f l ia g - n - - - - - -	d e r	t r u c k n e n	B l a t t l a	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m e i n a n d e r -	-	-	-
no	43579	Wenigzell	1	I m	-	-	W i n t e r - -	f l ia g - n - - - - - -	-	t r u c k n a n	B l a t t l	-	-	-	-	- - - - - - - - - - - - -	- u m - - a n a n d e r	-	-	-
no	43633	Ehrenschachen	1	I m	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k a n a n	B l a t t l	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m - - a n a n d a -	-	-	-
no	4364	Döbberin	1	I m	-	-	W i n t e r - -	f l i - e n - - - - - -	d i e	d r e e	B l ä d e r	-	d e r c h	-	L u f t	- - - - - r i mm e - - r -	- - - - - - - - - - - -	-	-	-
no	43640	Salmannsdorf	1	a -i N	-	-	w i n t a - - -	f l o ̜ u i n - - - - -	t ă	d r u g a n	b l a d l n	-	-	ă	l u f t	- - - - - - - - - - - - -	- u m a n o ̜ n d a - -	-	-	-
no	43662	Sankt Kathrein am Offenegg	1	I n	-	-	W i n t a - - -	f l ia g - n - - - - - -	-	t r u c k n a n	B l a t l n	-	-	-	-	u m - h e r - - - - - - -	- - - - - - - - - - - -	-	-	-
no	43699	Siget in der Wart	1	I m	-	-	W i n t e r - -	f l u i g e n - - - - -	d e r	t r o c k e n e n	B l a t l	-	-	i n	L u f t	- - - h e r u m - - - - -	- - - - - - - - - - - -	-	-	-
no	43715	Stubenberg	1	I m	-	-	W i n t a - - -	f l ia g - n - - - - - -	d e r	t r o k n a n	B l a d l n	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m - - a n a n d a -	-	-	-
no	43726	Unterrohr	1	I m	-	-	W i n t e r - -	f l ia g - n - - - - - -	d a	t r u c k a n a n	B l a t t l	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m - - a n au n d - -	-	-	-
no	43756	Eggersdorf	1	I n	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	d i a r n	B l a t l n	-	-	i n	L u f t	u m - - - - - - - - - - -	- - - - - - - - - - - -	-	-	-
no	43761	Sinabelkirchen	1	I n	-	-	W i n t a - - -	f l ia g - n - - - - - -	d e a	d r u c k n e n	B l a t e l n	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m ̄ a n a u n d a -	-	-	-
no	4377	Pamiecin	1	I n	-	-	W i n t e r - -	f l ie g e n - - - - - -	d i e	d r e h e	B l ä i d e r	-	d e r c h	-	L u f t	- - - - - r ü mm - - - - -	- - - - - - - - - - - -	-	-	-
no	43773	Bad Blumau	1	I m	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k a n e n	B l a t t l n	-	-	i n	L u f t	- - - h a r u m - - - - -	- - - - - - - - - - - -	-	-	-
no	43782	Deutsch Tschantschendorf	1	I m	-	-	W i n t e r - -	f l ia g - n - - - - - -	d a	t r u c k n a n	B l a t t l	-	-	i n	L u f t	- - - h e r u m - - - - -	- - - - - - - - - - - -	-	-	-
no	43850	Klostermarienberg	1	I n	-	-	W i n t a - - -	f l ui g - n - - - - - -	d a	d i r r n	B l a d l n	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m - - a n au n d a -	-	-	-
no	4388	Grabno	1	I m	-	-	W i n t e r - -	f l ie h e n - - - - - -	d i e	t r e e n	B l ä t t e r	-	d u r c h	-	L u f t	- - - - - r u m - - - - -	- - - - - - - - - - - -	-	-	-
no	43889	Moschendorf	1	I n	-	-	W i n t e r - -	f l u i g - - - - - - -	d a	d i a r i	-	L a w i	-	i n	L u f t	- - - - - - - - - - - - -	- u m a n a o n a - - -	-	-	-
no	43896	St. Jakob	1	I m	-	-	W i n t e r - -	f l o i g n t - - - - -	d e r	t r o c k i n i n	-	L a b b l a t t l i n	-	i n	L u f t	u m e h e r - - - - - - -	- - - - - - - - - - - -	-	-	-
no	43905	Oberpeischlach	1	I m	-	-	W i n t a - - -	f l o i g n g - - - - -	d a	t r u c k i n i n	B l a t t l i n	-	-	i n	L u f t	- - - - - - - - - - - - -	- i m a n o n d a - - -	-	-	-
no	43909	Mörtschach	1	I m	-	-	W i n t a - - -	f l ie g - n - - - - - -	d a	t r u c k n e n	B l a ö t a	-	-	i n	L u f t	u m ̄ a - - - - - - - - -	- - - - - - - - - - - -	-	-	-
no	43910	Flattach	1	I n	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k n a n	B l ä t t e r	-	-	i n	L u f t	u m - - a - - - - - - - -	- - - - - - - - - - - -	-	-	-
no	43938	Kolbnitz	1	I m	-	-	W i n t e r - -	f l ia g - n - - - - - -	d e r	t r u k n e n	B l ö t t e r	-	-	i n	L u f t	- - - - - - u m e - - r -	- - - - - - - - - - - -	-	-	-
no	43939	Ausservillgraten	1	I n	-	-	W i n t ŏ - - -	f l oi g - n - - - - - -	d o	t r u c k n e n	B l ö t t ŏ	-	-	i n	L u f t	u m - - a - - - - - - - -	- - - - - - - - - - - -	-	-	-
no	43948	Assling	1	I m	-	-	W i n t - r - -	f l ö g e n - - - - - -	d a r	t r u c k n e n	B l ö t t e r	-	-	i n	L u f t	- - - h e r u m - - - - -	- - - - - - - - - - - -	-	-	-
no	43959	Lindsberg	1	I n	-	-	W i n t a - - -	f l ie g - n - - - - - -	d a	t r o c k n e n	B l ä t l a	-	-	i n	L u f t	u m - - a - - - - - - - -	- - - - - - - - - - - -	-	-	-
no	43977	Kornat	1	I m	-	-	W i n t e r - -	f l ia g e - - - - - - -	d e r	t r u c k n a n	B l a t t l a n	-	-	i n	L u f t	u m - - a t u m - - - - -	- - - - - - - - - - - -	-	-	-
no	43982	Berg im Drautal	1	I n	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k n e n	B l ö i t a	-	-	i n	L u f t	u m - - a - - - - - - - -	- - - - - - - - - - - -	-	-	-
no	43988	Goderschach	1	I n	-	-	W i n t - r - -	f l i e g n t - - - - -	d r	t r u k a n	B l ö t r	-	-	i n	L u f t	u m h a r - - - - - - - -	- - - - - - - - - - - -	-	-	-
no	4400	Trzemeszno Lubuskie	1	I m	-	-	W i n t e r - -	f l i - e n - - - - - -	d i e	t r e h e n	B l ä t t e r	-	d u r c h	-	L u f t	- - - - - r u m - - - - -	- - - - - - - - - - - -	-	-	-
no	44006	Kremsbrücke	1	I m	-	-	W i n t a - - -	f l ia ng - - - - - - - -	d a r	t r u c k n a n	B l ö t t a	-	-	i n	L u f t	u m - - a - - - - - - - -	- - - - - - - - - - - -	-	-	-
no	44010	Oberhof	1	I m	-	-	W i n t a r - -	f l ia g - n - - - - - -	d a	t r u c k n a n	B l ö t a r	-	-	e n	L u f t	- - - - - - - - - - - - -	- u m - - a n o n d - -	-	-	-
no	44038	Kleblach-Lind	1	I n	-	-	W i n t e r - -	f l ia g - n - - - - - -	d e r	t r u c k n a n	B l ö t t e r	-	-	i n	L u f t	u m a r - - - - - - - - -	- - - - - - - - - - - -	-	-	-
no	44040	Obermillstatt	1	E n	-	-	W i n t a - - -	f l i e g n t - - - - -	d a	t r u c k n e n	B l ö t t a	-	-	e n	L u f t	u m - - a - - - - - - - -	- - - - - - - - - - - -	-	-	-
no	44054	Patergassen	1	I n	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	d i r r n	B l a t t l a n	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m e n o n d a - - -	-	-	-
no	44056	Steuerberg	1	I n	-	-	W i n t e r - -	f l i a g t ' s - - - -	d e r	t r u c k a n e	-	L a w	-	i n	L u f t	- - - - - - - - - - - - -	- u m a n å n d e r - -	-	-	-
no	44109	Hermagor	1	I n	-	-	W i n t a - - -	f l i a c h a n - - - -	d a	t r u k a n	B l a t l a n	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m - - a n å n d - -	-	-	-
no	44117	Bleiberg-Kreuth	1	I n	-	-	W i n t a r - -	f l i a g t s - - - - -	d a r	-	-	L a b	-	i n	L u f t	u m - - a - - - - - - - -	- - - - - - - - - - - -	-	-	-
no	44124	Villach	1	I m	-	-	W i n t a - - -	f l i a g ̃ - - - - - -	d a	t r u c k n a n	B l a t t l	-	-	i n	L u f t	u m - - a - - - - - - - -	- - - - - - - - - - - -	-	-	-
no	44142	Schiefling	1	I m	-	-	W i n t e r - -	f l ie g - n - - - - - -	d e r	t r o c k n e n	B l ä t t e r	-	-	i n	L u f t	u m r - - - - - - - - - -	- - - - - - - - - - - -	-	-	-
no	44162	Suetschach	1	I n	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k n a n	B l a t l n	-	-	i n	L u f t	u m - - a - - - - - - - -	- - - - - - - - - - - -	-	-	-
no	44174	Sankt Salvator	1	I n	-	-	W i n t e r - -	f l i a c h n t - - - -	d a r	t r u c k n e	B l ö t e r	-	-	i n	L u f t	u m a r - - - - - - - - -	- - - - - - - - - - - -	-	-	-
no	44182	Heft	1	I m	-	-	W i n t a r - -	f l i a c h n t - - - -	d a	d ü r r n	B l ö t t a r	-	-	i n	L u f t	u m a r - - - - - - - - -	- - - - - - - - - - - -	-	-	-
no	44189	Schiefling	1	I m	-	-	W i n t e r - -	f l ia g - n - - - - - -	d e r	t r u k n e n	B l ä t t a r	-	-	i n	L u f t	u m - - a - - - - - - - -	- - - - - - - - - - - -	-	-	-
no	44196	Modriach	1	I m	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k n a n	B l ä t t a	-	-	i n	L u f t	- - - h e r u m - - - - -	- - - - - - - - - - - -	-	-	-
no	44200	Launegg	1	n	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	d i a n	B l a t t l	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m - - a n a n d a -	-	-	-
no	44234	Obermühlbach	1	I n	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k n e n	B l ö t t a	-	-	i n	L u f t	u m h a - - - - - - - - -	- - - - - - - - - - - -	-	-	-
no	44243	Hochfeistritz	1	I m	-	-	W i n t e r - -	f l i a c h n - - - - -	d a	t r u c k n e n	B l a t t l a n	-	-	i n	L u f t	u m - - a - - - - - - - -	- - - - - - - - - - - -	-	-	-
no	44248	Sankt Andrä	1	I m	-	-	W i n t - r - -	f l i a g t ’ s - - - -	d a r	t r u c k n e	-	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m r a n o n d a r ’	-	-	-
no	44256	Glashütten	1	I m	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k n a n	B l a t t l n	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m a r a n o n d a -	-	-	-
no	44261	Sankt Peter im Sulmtal	1	I m	-	-	W i n t a - - -	f l i a g t ' s - - - -	d a	t r u c k n e	-	L a b	-	i n	L u f t	u m - - a - - - - - - - -	- - - - - - - - - - - -	-	-	-
no	44295	Oberhaag	1	I n	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k n a n	B l a t l a	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m - - a n au n d a -	-	-	-
no	44303	Klagenfurt-Harbach	1	I m	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k a n a n	B l e i t a	-	-	i n	L u f t	u m - - a - - - - - - - -	- - - - - - - - - - - -	-	-	-
no	44308	Eberndorf	1	I m	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u k e n e n	B l e t a	-	-	i n	L u f t	u m - - a - - - - - - - -	- - - - - - - - - - - -	-	-	-
no	44313	Lorenzenberg	1	I m	-	-	W i n t e r - -	f l ia g - n - - - - - -	d a	t r u c k a n a n	B l ä t ' a r	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m - - a n å n d - -	-	-	-
no	44314	Sankt Margarethen	1	I m	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k n a n	B l ä t a	-	-	i n	L u f t	u m - - a - - - - - - - -	- - - - - - - - - - - -	-	-	-
no	44320	Bad Eisenkappel	1	I m	-	-	W i n t a - - -	f l ie g - n - - - - - -	d i e	t r o c k n a n	B l ä t t a	-	d u r c h	-	L u f t	- - - - - - - - - - - - -	- u m - - a n å n d - -	-	-	-
no	44333	Paldau	1	I n	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k n a n	B l ä t t a	-	-	i n	L u f t	- - - - - - - - - - - - -	- u m - - a n a n d a -	-	-	-
no	44347	Hohenbrugg an der Raab	1	I m	-	-	W i n t a - - -	f l ia g - n - - - - - -	d a	t r u c k n a n	B l ä t a	-	-	i n	L u f t	- - - h e r u m - - - - -	- - - - - - - - - - - -	-	-	-
no	44358	Mogersdorf	1	A n	-	-	W i n t a - - -	f l ui g - n - - - - - -	d a	t r u c k a n a n	B l a t t l n	-	-	a f	L u f t	- - - - - - - - - - - - -	- u m - - a n a n d - -	-	-	-
