Index	Bogennummer	REDE_Namen	Sprache	IM	DES	-	WINTER	FLIEGEN	DIE	TROCKENEN	BLATTER	LAAB	DURCH	IN	LUFT	HERUM	UMEINANDER	RUND	UMBEI	__parsed_extra
ab	11262	Seebach	1	I n	-	-	W e n t e r - -	f l ü h - n - - - - - -	d	t r o c k n e	B l ä t t e r	-	d ö r c h	-	L u f t	- - - - e r ü m - - - - -	- - - - - - - - - - - -	-	-	-
ab	1133	Debenke	1	I m	-	-	W i n t ä - - -	f l ēi g ä̆ - - - - - - -	d ä ̆	d r ö g ä	B l ä d ä	-	-	i d	L u f t	- - - - - r ü mm ä - - - -	- - - - - - - - - - - -	-	-	-
ab	1139	Gliszcz	1	I m	-	-	W i n t e - - -	f l a g e - - - - - - -	d e	d r ö g e	B l ä d e	-	-	ÿ	L u f t	- - - h e r ü m - - - - -	- - - - - - - - - - - -	-	-	-
ab	11467	Boilstädt	1	I m	-	-	W äi n t e r - -	f l ie h e - - - - - - -	d e r	t r o c k e n e	B l ä t t e r	-	-	i n	L o f t	- - - - - r i mm - - - - -	- - - - - - - - - - - -	-	-	-
ab	11485	Ingersleben	1	I m	-	-	W e n d e r - -	f l i h - n - - - - - -	d ' r	d r o c k n e	B l ä d d e r	-	-	i n	L o f d	- - - - - r e m - - - - -	- - - - - - - - - - - -	-	-	-
ab	1150	Czarze	1	E m	-	-	W i n t e - - -	f l e g e - - - - - - -	d e	d r e g e	B l e d e r	-	d e r g	-	L u f t	- - - h e r u m - - - - -	- - - - - - - - - - - -	-	-	-
ab	11515	Gutendorf	1	I n	-	-	W i n t - r - -	f l ei - - n - - - - - -	d ' r	t r o c k n e	B l ä t t ' r	-	-	i n	L u f t	- - - - - r e m - - - - -	- - - - - - - - - - - -	-	-	-
ab	11539	Kleinschwabhausen	1	I m	-	-	W i n t e r - -	f l ei - - n - - - - - -	d ' r	t r o c k e n e	B l ä t t e r	-	-	i n	L o f t	- - - - - r e m - - - - -	- - - - - - - - - - - -	-	-	-
ab	11568	Thalbürgel	1	I m	-	-	W i n t e r - -	f l ie g e n - - - - - -	d e r	t r o c k n e n	B l ä t t e r	-	-	i n	L u f t	- - - - - r e mm - - - - -	- - - - - - - - - - - -	-	-	-
ab	1157	Bielczyny	1	I m	-	-	W i n t e r - -	f l ie g e - t - - - - -	d '	t r u c k n e	B l ä t t e r	-	d u r c h	-	L u f t	- - - - - r u m - - - - -	- - - - - - - - - - - -	-	-	-
ab	11586	Bad Köstritz	1	I m	-	-	W i n t e r - -	f l ie g e n - - - - - -	d i e	t r u c k e n	B l ä t t e r	-	d u r c h	-	L u f t	- - - - - r i m - - - - -	- - - - - - - - - - - -	-	-	-
ab	11607	Lumpzig	1	I n	-	-	W e n t e r - -	f l ie g - n - - - - - -	d e	t r e i c h e n	B l e t t e r	-	d o r c h	-	L u f t	- - - - - r i m - - - - -	- - - - - - - - - - - -	-	-	-
ab	1162	Sierakowo	1	O e m	-	-	W i n t e - - -	f l ei g e - - - - - - -	t '	d r ö g	B l ä d e	-	d ö r c h t	-	L o f t	- - - - e r ö mm e - - - -	- - - - - - - - - - - -	-	-	-
ab	11645	Gleismuthhausen	1	I m	-	-	W i n d ä - - -	f l ie g - n - - - - - -	d ä	t r u c k n a	B l ä t t ä	-	-	i n	L u f t	- - - - - r ü m - - - - -	- - - - - - - - - - - -	-	-	-
ab	11673	Mitwitz	1	I m	-	-	W i n t e r - -	f l ie g - n - - - - - -	d e r	t r u c k n a	B l ē t t e r	-	-	i n	L u f t	- - - - - r u m - - - - -	- - - - - - - - - - - -	-	-	-
ab	11763	Aub	1	I m	-	-	W i n t e r - -	f l ie g - n - - - - - -	d i e	t r u c k n a	B l ī e t e r	-	-	i n	L u f t	- - - - - r ö m - - - - -	- - - - - - - - - - - -	-	-	-
ab	1178	Sokoliniec	1	I m	-	-	W i n t e - - -	f l e g a - - - - - - -	e	d r ö g a	B l e i g e	-	-	i n n	L u f t	- - - - - r ü mm e - - - -	- - - - - - - - - - - -	-	-	-
ab	11805	Seidmannsdorf	1	I n	-	-	W i n t - r - -	f l ie g - n - - - - - -	d e r	t r o c k n a '	B l e t t e r	-	-	i n	L u f t	- - - - - r u m - - - - -	- - - - - - - - - - - -	-	-	-
ab	11825	Wallenfels	1	I m	-	-	W ĭ n t e - - -	f l īe ng - - - - - - - -	d e	t r ŭ c k n a	B l é t t e	-	-	i n	L ū f t	- - - - - r ü̆ m - - - - -	- - - - - - - - - - - -	-	-	-
ab	11844	Neudorf	1	I m	-	-	W i n t - r - -	f l e-i ng - - - - - - - -	d e r	t r u c k n a	B l ä i t e r	-	-	i n	L o u f t	- - - - - r i m - - - - -	- - - - - - - - - - - -	-	-	-
ab	11864	Draisendorf	1	I m	-	-	W i n t e r - -	f l īe ng - - - - - - - -	d e r	t r u c k n a	B l é t e r	-	-	i n	L u f t	- - - - - r i mm - - - - -	- - - - - - - - - - - -	-	-	-
