Index	Bogennummer	REDE_Namen	Sprache	WS1::TransliterationWS1
ab	12496	Horsdorf	1	Īm Winté flieg'n̰ die truckna Blétté in die Luft rümm.
ab	12529	Ködnitz	1	Ne Winter fliegn die kruckna Bleter in der Luft rim.
ab	12556	Kornbach	1	Na Wintè flīeng die truckna Blédè in der Luft rĭm.
ab	12572	Habnith	1	Na (od. in statt im) Winta flöing die truckna Bleta i da Luft rim (imma).
ab	12594	Uchenhofen	1	Im Winter fliehn die truckna Bletter in dar Luft rüm.
ab	12616	Reutersbrunn	1	Jn Winter fliagn die truckne Bletter in der Luft rüm.
ab	12656	Weismain	1	En Wintä fliegts /:träbts:/ dörr Laab in de Luft rümm.
ab	1278	Insko	1	Im Wintē flēga de dröga Blädē döĕ̆ch de Luft rümme.
ab	1287	Konotop	1	Im Winte fleja de dröja Bleide döch de Luft rümme.
ab	12876	Lohma	1	In Wenter fliegen de treuchen Bletter dorch de Luft 'rim.
ab	12898	Heiersdorf	1	In Winter fliegen die treugen Blätter durch (duoch) de Luft rim.
ab	12921	Sachsenburg	1	Inna Wint'r flieng d'treuchen Blätt'r in d'r Luft rim.
ab	12942	Rothenfurth	1	In Winder flieg'n de dräuchen Blädder dorch de Lufd 'rim.
ab	1296	Zabin	1	Jm Winte flega de dröga Bleide döch de Luft rümme.
ab	12969	Borlas	1	Im Winter fliegen die träugn Blätter in d'r Luft rum.
ab	13005	Dohna	1	Im Winter fliehn die treichen Blätter in d'r Luft rim.
ab	13019	Porschdorf	1	In Winter fliehn de träuchen Blätter durch de Luft rum.
ab	13047	Morgenröthe	1	Im Winter flieng die treing Blötter durch die Luft rim.
ab	13054	Rittersgrün	1	In Winter fling de treing Bletter in der Luft rimm.
ab	1315	Kamien	1	Im Winte fleign dei dröge Bläde dö dei Luft h[ü/ĕ?]r[ē?]mme.
bc	13169	Saupersdorf	1	Im Winter flieng de treing Bletter dorch de Luft rimm.
bc	13187	Kühnheide	1	n Winter flieng de treing Bletter dorch de Luft rim.
bc	13210	Himmelmühle	1	Innă Wintăr flieng die treing Blättăr in der Loft rimm.
bc	13226	Rübenau	1	In Winter fliegn de treichn Blätter rüm.
bc	13269	Thurm	1	Im Winter fliegen die treigen Blätter durch de Luft 'rum (rim).
bc	13286	Ursprung	1	Inn Winter flieng die treung Blätter dorch die Luft rümm.
bc	133	Sosnowo	1	Im Winta fleiga dei dröga Blära dörch dei Luft rümma
bc	13317	Dittmannsdorf	1	Em Wenta flieng de treichen Blätta dorch de Loft rüm.
bc	13340	Grosshartmannsdorf	1	In a Windă fliejn dĕ dreichn Bläddă in dă Lufd rimm.
bc	13355	Reichenau	1	Jm Winter flieh'n di dreichen Blätter dorch de Luft h'rum.
bc	13372	Liebenau	1	Im Winter fliehn de treigen Blätter durch de Luft rim.
bc	1338	Dzidno	1	Im Wintä fleija dei dröja Blädde dö dei Luft herüme.
bc	13529	Wang-Brückenberg	1	m Winter fliega die treiga Blätter ei der Luft rümm.
bc	13543	Pisarzowice	1	Eim Winter fliega die treuga Blätter dorch die Luft rim.
bc	13559	Boguszow-Gorce	1	Eim Winter fliega die treuja Blätter ei dĕr Luft rim.
bc	13655	Niederleutersdorf/Leutersdorf	1	An Winter fliegen de troigen Blätter dorch de Loft römm.
bc	13678	Rohnau (-)	1	An Winter flieg'n die dreũgen Blätter ă d'r Luft 'rĭm.
bc	13700	Rebiszow	1	Im Winter fliega die treuja Blätter ei der Luft rim̄.
bc	13719	Siedlecin	1	Im Wirnter flieja dĕ troija Blätter ei dirr Luft rimm.
bc	13727	Myslow	1	Eim Winter fliega di troiga Blätter ei dirr Luft rimm.
bc	13745	Jugowa	1	Eim Winter flieja di treuja Blätter ei dir Luft rim.
bc	13830	Wlodowice	1	m Wenter flieja de treuja Bleter ei dr Luft rem.
bc	13869	Biernacice	1	Am Winter fliga die treugï Blätter ei dr Luft rim.
bc	13887	Rzymiany	1	Am Winter fliegen die treugen Blätter ei der Luft rimm.
bc	13898	Szadurczyce	1	Am Winter fliegen de troigen Blätter ei derr Luft rüm.
bc	13929	Stoszowice	1	Eim Winter flieja die treuja Blätter dorch die Luft rim.
bc	13996	Lutomia Gorna	1	Ei'm Winter fliega die treuga Blätter ei der Luft rim̄.
bc	14023	Roztocznik	1	Eim Winter fliega die treuga Blätter ei d'r Luft rim.
bc	1403	Dobieszewo	1	Im Winte fleige dei dröge Blära döch dei Luft
bc	14034	Lipowa	1	Eim Winter fliega die treuga Blätter ei d'r Luft rimm.
bc	14074	Michalow	1	Am Winter fliehn de troie Blätter durch de Luft rim.
bc	14092	Karczow	1	Am Wenter fliegen die trucknen Blätter durch de Luft rimm.
bc	14159	Jutrzyna	1	Am Winter fliegen die treugen Blätter ei der Luft rim.
bc	1417	Rydzewo	1	Im Wintĕ fleigĕ d' drögĕ Blärĕ dörch d' Luft 'rümmĕ.
bc	14234	Brzoza	1	Im Winter flieg'n die treugen Blätter ei dir Luft rim̄.
bc	14250	Jaczkowice	1	Am Wintr fliegen die treugn Blätter durch die Luft herim.
bc	14275	Piastowice	1	Im Winter fliegen die trucknen Blätter in der Luft rim.
bc	14305	Bozanow	1	Eim Winter fliega die treuga Blätter durch die Luft remm.
bc	1432	Rzepowo	1	Im Winte flega de dröga Bleide döch de Luft rümme.
bc	14321	Rogow Sobocki	1	Eim Winter fliega die troiga Blätter ei der Luft rimm.
bc	14382	Wölfelsdorf (Wilkanów)	1	m Wenter flieja die träuja Bleter ei der Loft rem.
bc	1442	Lubowo	1	Im Winte fleige dei dröge Bläde dörch dei Luft rümme.
bc	14449	Thröm (Trebom)	1	Am Wenter flieohn die treiche Bleter ni derr Loft rem.
bc	14458	Szczytna	1	M Wönter flieja d troja Bloter ei dr Loft remm.
bc	14471	Jaszkowa Gorna	1	m Wenter fliecha de treicha Bleter dorch de Loft rem.
bc	14486	Nadziejow	1	Im Winter fliega die treuga Blätter durch die Luft herum.
bc	145	Smardzko	1	Im Winte fleige dei dröge Blääre döch dei Luft rümme.
bc	14505	Piorunkowice	1	Eim Winter fliega die truckna Bläter dorch die Luft herim.
bc	1451	Steinforth (Brodźce)	1	Jm Wintä fleijät dröjä Blädä iddä Luft rümmä.
bc	14537	Bielice	1	Eim Wenter flija die treija Bleter dorch de Loft.
bc	14560	Siemianowice Slaskie	1	Eim Winter fliega die treiga Blätter ei der Luft herim.
bc	1461	Wegorzewo Szczecineckie	1	Im Wintä fleige dei dröge Bläde dörch dei Luft herüm.
bc	14613	Nohfelden	1	Em Wenter fliehe die drockne Blärrer in der Louft herum.
bc	14635	Erzweiler	1	Im Wind'r fliehje die drockne Blärrer in d'r Luft e[?]... [großer Schmierfleck aus Tinte]
bc	14670	Nussbach	1	Im Windĕr fliehĕ die trocknè Blérrèr in de' Luft ĕrum.
bc	14693	Dannenfels	1	Jm Winder - auch mit unter Wender - fliehn die truckene Blärer en der Luft erum.
bc	14724	Monsheim	1	Em Winter fliehen die truckne Blärer dorch die Luft rum.
bc	14752	Sankt Matthias	1	Emm Wender fliegen de trocken Bleder dorch de Loft herom.
bc	14955	Bescheid	1	Em Wenter flöien döi tröcken Blädder dorch döi Loft erim.
bc	14971	Allenbach	1	Em Wenter fleje di drockene Blärer durch die Loft erem.
bc	1499	Stara Rzeka	1	Im Winta fleja de dreja Bläda dirrch de Luft rimma.
bc	14999	Berschweiler bei Kirn	1	Im Winter fliehe die trouckene Blierer dourch die Luft erum.
bc	15018	Bad Sobernheim	1	Im Winter fliehe die trockene Blärre in de Luft erum.
bc	15042	Neu-Bamberg	1	Jm Winder flieje die drockene Blerrer dorch die Luft.
bc	15066	Bechtolsheim	1	Em Winter fliegn die truckne Blärrer dorch die Luft erimm
bc	15088	Bollendorf	1	Amm Wanter flegen d'trechen Blēder dūrch d'Loft eröm.
bc	15096	Preist	1	Am Wanter flögen de trei Bleder an der Loft herom.
bc	15118	Pohlbach	1	Amm Wander flaugen de trecken Bläder de Loft rumm.
bc	15137	Kautenbach	1	Em Wenta fléje déi drockene Blärra en da Louft erum.
bc	15334	Kirchberg (Hunsrück)	1	Im Winder fliehe die druckene Blierer dorig die Luft erum.
bc	15349	Ellern (Hunsrück)	1	Im Wind'r flie'e die därre (druggene) Bliere in de Lufd erum.
bc	1536	Heidlauken (Bugorki)	1	Em Winter flöge de dröje Bläder dorche Lóft römm.
bc	15365	Bingen am Rhein	1	Im Winter fliehe die truckene Blätter durch die Luft erum.
bc	15394	Finthen	1	Im Winter flie die truckene Blärrer dorch die Luft erum.
bc	1540	Heinrichswalde	1	Em Winter flege de dreege Bläder in e Loft rom.
bc	15418	Schneeberg (Sněžník)	1	Jn Winda fliegn die treigen Bletta in da Luft rim.
bc	15503	Zettel (Sedlo)	1	Im Wintar flieg'n da trei'g'n Blätter in d'r Luft rimm.
bc	1552	Pazuizen	1	Em Winter flege de drege Bläder enne Loft rom.
bc	15538	Wisterschan (Bystřany)	1	Jm Winter do flien die treich'n Blad'ln in de Luft rim.
bc	15550	Malschen (Malečov)	1	Ain Wintar flien die traign Blatln ai d'r Luft rimm.
bc	15638	Lukawetz (Lukavec)	1	In Winter fliegn die treign Blatln in dr Luft rim.
bc	1565	Gierver Lauken	1	Em Winter flege de drege Bläder dorche Loft romm.
bc	15681	Neudorf (Vrchběla)	1	An Wintr fliegn de troign Blettr adr Luft rim.
bc	15685	Gastorf (Hoštka)	1	Ein Winter fliegn die treïgen Blätter ei dr Luft rim.
bc	15690	Wegstädtl (Štětí)	1	An Winter fliegn die trejgn Blätter ai dr Luft rim.
bc	1571	Schmalleningken	1	Oemm Winter flege de drege Bläder dorch de Loft romm.
bc	15725	Nixdorf (Mikulášovice)	1	An Wintr fliechn do dreuchn Blättr eidr Lofft rimm.
bc	1573	Groß Dirschkeim (Donskoye)	1	Em Winta flege de drege Bläda dorche Loft remm.
bc	15751	Rückersdorf (Dolní Řasnice)	1	Ån wintr flīgn dö troign blättr a dr loft röm.
bc	1578	Rantau (Zaostrov'Ye)	1	Em Winta flögè de drége Bläda dürch dè Lofft herrim
bc	158	Polczyn-Zdroj	1	Im Winte fleije dei dröhje Blähde dörch dei (dörch t') Luft rümme.
bc	1580	Schulstein (Vol'Noe)	1	Em Winta flege de dröge Bläda dorch e Loft rem
bc	15807	Kamnitz-Neudörfl (Kamenická Nová Ví	1	Ein Winta fliegn die treichn Blätta ei a Luft rimm.
bc	15824	Zwickau (Cvikov)	1	An Winter fli[e?]gn de troign Blettr ei d[r?] Loft reim.
bc	15847	Christophsgrund (Kryštofova Údolí)	1	An Winter fliegn die treugen Blatl a dr Loft röm.
bc	15858	Gränzendorf (Hraničá)	1	Ann Winter fliegen die troigen Blätter eid'r Loft römm.
bc	1588	Alt Susimilken (Tarassowka)	1	Oem Winter flöge de dröge Blöder durche Loft rom
bc	15971	Puletschnei (Pulečný)	1	En(g) Wintr fliechn dö trojchn Blättr ei dr Loft röm.
bc	15975	Graber (Kravaře)	1	Ain Wintr fliegn die trojgn (troign) Blâtln ai dr Lufft rimm.
bc	15989	Thammühl (Staré Splavy)	1	Ein Windr fliegn de treikn Blätta ei dr Luft rim.
cd	15995	Proschwitz (Česká Proseč)	1	An Wintr fliegn die trojgen Blätter aj dr Luft rem.
cd	16007	Harrachsdorf (Harrachov)	1	An Wentr fliechn die trojchn Blätter ei dr Loft rem.
cd	16015	Witkowitz (Vítkovice)	1	An Wentә fliechn de treuchn (de͜rrn) Blätln ei dә Loft rem.
cd	16050	Forst (Fort)	1	Äm Wenta fliechn die treicha Blätta ei da Loft remm.
cd	16063	Gabersdorf (Libeč)	1	Om Wenter fliechn die troucha Blätter ei dr Loft rem
cd	16083	Bodisch (Bohdašin)	1	Om Winto fliecha die treucha Blätr ei do Luft rim.
cd	16139	Zwitschin (Zvičina)	1	M Wenter flieha de treiha Blätter ei dr Loft remm.
cd	16154	Großbock (Velká Bukovina)	1	Êm Wêntr (Wênto) flieha die treiha Blättr ai do (dr) Lôft rem.
cd	16179	Schmiedeberg (Kovářská)	1	En Wenter fliegn de derrn Bletter en dr Luft rem.
cd	1626	Tulpeningken (Zarečnoe)	1	Em Winter flege de drukkene Bläder dorch de Lofft herrom.
cd	16276	Waitzengrün (Loučná)	1	Im Winta flöig'n die truckna Blodla in da Luft im.
cd	1628	Wisborienen (Livny)	1	Em Winter flege de druckene Bläder enne Loft omher.
cd	16298	Sittmesgrün (Mezirolí)	1	Im Winta flöig'n de truckana Blala in da Luft üm.
cd	16322	Petersdorf (Petrov)	1	In Winter fle 'ing trugga Bleta in da Luft rimm.
cd	16338	Podletitz (Podlesice)	1	Im Winter fliegn die truckana Bletter in der Luft rim.
cd	16442	Kropitz (Krapice)	1	n' Winta flöig'n d düan Bla(d)la in d Luft üm.
cd	16470	Ebersfeld (Podlesi)	1	Im Winter flöign die truckenen Blala in der Luft üm.
cd	16491	Rabensgrün (Haje)	1	Im Winta flöign truckåna Blalå im.
cd	16523	Lintsch (Hlineč)	1	Im Winta fläign däi trukana Blala in da Luft im.
cd	1654	Postnicken (Zalivnoe)	1	Em Winta flege de drege Bläda enne Loft rem.
cd	16602	Klotantschen (Kotaneč)	1	In Winta flijgn die truckana Blätter in dâ Luft rim.
cd	16610	Tschernowitz (Černovice)	1	Im Winter fliegen die treign Blätter in der Luft rim.
cd	16625	Hawran (Havraň)	1	Jm Winter fliegn de treign Blätter in de Luft rim.
