Grapheme	Frequency	IPA	Codepoint	UnicodeName
ij	7	i	U+0069, U+006A	LATIN SMALL LETTER I, LATIN SMALL LETTER J
io	5	ia	U+0069, U+006F	LATIN SMALL LETTER I, LATIN SMALL LETTER O
ir	3	ia	U+0069, U+0072	LATIN SMALL LETTER I, LATIN SMALL LETTER R
iu	12	iu	U+0069, U+0075	LATIN SMALL LETTER I, LATIN SMALL LETTER U
iü	1	iu	U+0069, U+00FC	LATIN SMALL LETTER I, LATIN SMALL LETTER U WITH DIAERESIS
j	446	j	U+006A	LATIN SMALL LETTER J
ja	1	ia	U+006A, U+0061	LATIN SMALL LETTER J, LATIN SMALL LETTER A
jä	1	ia	U+006A, U+00E4	LATIN SMALL LETTER J, LATIN SMALL LETTER A WITH DIAERESIS
je	5	ia	U+006A, U+0065	LATIN SMALL LETTER J, LATIN SMALL LETTER E
jë	1	ia	U+006A, U+00EB	LATIN SMALL LETTER J, LATIN SMALL LETTER E WITH DIAERESIS
jg	1	j	U+006A, U+0067	LATIN SMALL LETTER J, LATIN SMALL LETTER G
ji	6	i	U+006A, U+0069	LATIN SMALL LETTER J, LATIN SMALL LETTER I
jj	5	j	U+006A, U+006A	LATIN SMALL LETTER J, LATIN SMALL LETTER J
k	800	k	U+006B	LATIN SMALL LETTER K
kch	1	x	U+006B, U+0063, U+0068	LATIN SMALL LETTER K, LATIN SMALL LETTER C, LATIN SMALL LETTER H
kg	1	g	U+006B, U+0067	LATIN SMALL LETTER K, LATIN SMALL LETTER G
kh	1	k	U+006B, U+0068	LATIN SMALL LETTER K, LATIN SMALL LETTER H
kk	2	k	U+006B, U+006B	LATIN SMALL LETTER K, LATIN SMALL LETTER K
ks	1	-	U+006B, U+0073	LATIN SMALL LETTER K, LATIN SMALL LETTER S
ksch	1	ʃ	U+006B, U+0073, U+0063, U+0068	LATIN SMALL LETTER K, LATIN SMALL LETTER S, LATIN SMALL LETTER C, LATIN SMALL LETTER H
l	274	l	U+006C	LATIN SMALL LETTER L
lb	1	l	U+006C, U+0062	LATIN SMALL LETTER L, LATIN SMALL LETTER B
ll	1517	l	U+006C, U+006C	LATIN SMALL LETTER L, LATIN SMALL LETTER L
m	308	m	U+006D	LATIN SMALL LETTER M
n	7205	n	U+006E	LATIN SMALL LETTER N
ng	104	ŋ	U+006E, U+0067	LATIN SMALL LETTER N, LATIN SMALL LETTER G
nk	3	ŋ	U+006E, U+006B	LATIN SMALL LETTER N, LATIN SMALL LETTER K
nn	450	n	U+006E, U+006E	LATIN SMALL LETTER N, LATIN SMALL LETTER N
nng	1	ŋ	U+006E, U+006E, U+0067	LATIN SMALL LETTER N, LATIN SMALL LETTER N, LATIN SMALL LETTER G
ŋ	2	ŋ	U+014B	LATIN SMALL LETTER ENG
o	5154	o	U+006F	LATIN SMALL LETTER O
o̊	24	o	U+006F, U+030A	LATIN SMALL LETTER O, COMBINING RING ABOVE
ö	482	ø	U+00F6	LATIN SMALL LETTER O WITH DIAERESIS
ø	1	ø	U+00F8	LATIN SMALL LETTER O WITH STROKE
oa	277	oa	U+006F, U+0061	LATIN SMALL LETTER O, LATIN SMALL LETTER A
oå	1	oa	U+006F, U+00E5	LATIN SMALL LETTER O, LATIN SMALL LETTER A WITH RING ABOVE
