Index	Bogennummer	REDE_Namen	Sprache	WS9Transliteration
ab	11805	Seidmannsdorf	1	Jch bin - bei der Fråh g'wåst un - ho s - 'r - g'sogt und - sie hot - g'sogt - - sie - - wöllt - s - - ihrn Meedl - å - sog - -
ab	11825	Wallenfels	1	Ich bi - bei de Fra gewḛḭn und - hou s - ere - g'sokt - - - - - - - - sie hot - - - s a - ihre Tochte - - - seugn wölln -
ab	11844	Neudorf	1	E-ich be-i - ba dr Fra* gawe-isen und - ho-u s - ihr - gsackt und - sai ho-ut - gsackt - - se-i - - will - 's a* - ihra Tochter - - - sa-ung - -
ab	11864	Draisendorf	1	Ich bi - bă der Frā g'wes'n und - hob 's - ihr - g'sackt und - sie - - sakt - - sie - - will - 's a - ihră Tochter - - - sōng - -
ab	11881	Sohl	1	Ich bi - ba d'r frau g'wesn u - ho - - ër er gsackt u - si - - sackt - - si - - wollt - s a - ihr'n madle - - - sōng - -
ab	11896	Sülzdorf	1	Jch bin - bai die Fra gewast on - ho' s - erre - gsöt on - sie - - sött - - sie - - wall - 's a - ührer (Medle) - - - sö - -
ab	1192	Debsko	1	Ick bin - bi de Frug weist u - hebb t - e - seggt u - se - - seggt - - se - - wu - tt ok - ähre Dochte - - - segge - -
ab	11927	Bachfeld	1	Ich bin - bei där Fra g'waßt un - hob 's - ihr - g'socht un - sie - - socht - - sie - - wollt - 's ä - ihrer Tochter - - - sogen - -
ab	1197	Plociczno	1	Ick bün - bi de Frau veist o - heb et - är - seggt un - sie - - sät - - sie - - woll - 'et ok - äre Dochte - - - sägge - -
ab	1203	Nakielno	1	Jck bin - bi de Fruk weist un - häb - - äh - sägt un - se - - seid - - se - - wu - dat ok - eire Tochte - - - sägga - -
ab	12037	Hildburghausen	1	Ich bin - bei d'r Frā gewāsen un - hō se - re - g'sogt un - sie hot - g'sogt - - sie - - wullt - 's - - ihr'n Mädle - a - sog - -
ab	12070	Neuenbau	1	Ich bin - bei der Fraa gewast und - ho s - ere - gesocht und - sie - - socht - - sie - - wollt - 's a - ihrer Tochter - - - sog - -
ab	1208	Wissulke (Wiesiółka)	1	Ick bin - bi dä Frug' weist u - hebb t - ä - seggt u - se - - seid - - se - - wu - tt ock - eire Dochte - - - seggö - -
ab	12085	Grumbach	1	Ich bin - bei dårå Frå gewåst unn - hob 's - ihr - gesogt unn - så - - sogt - - så - - wollt - es å - ihrn Mädlå - - - sog - -
ab	12104	Frössen	1	E-ich be-i - be darr Frā gewe-isen und - hau 's - 'r - gesockt und - se ho-ətt - gesockt - - se - - wöllt - 's - - ihrer Tochter - - - sa-ung - -
ab	12125	Schwand	1	Ich bin - bei dr Frä geweesn unn - ho - - er s gesockt unn - sie - - sockt - - se - - will - s äh - ihrer Tochter - - - sohng - -
ab	12148	Kottengrün	1	Ich bin - bei der Frau gewehn un - ho s - ihr - gesockt un - se - - sat - - se - - wot - s aa - ihrer Tochter - - - sogn - -
ab	1215	Paruszka	1	Ick büh - bi dä Frugä wäst uh - hebb - - ä datt sägt uh - sei - - säd - - sei - - wutt - datt ok - ähne Dochtä - - - sägä - -
ab	12153	Meiningen	1	Ich bin - bei der Frah gewast unn - ha s - rĕ - gesöt unn - si - - söt - - si - - wöll - s a - ihrer Tochter - - - sö - -
ab	12167	Altendambach	1	Ich bin - bei dör Fra gewast o - ho ss - örö - gösöht o - sie - - sött - - sie - - wäll - s - - örn Mädla - - - söh - -
ab	12184	Altenfeld	1	Ich bin - ba der Fruh gewast un - ho s - ere - gesogt un - sie hot - gesogt - - sie - - will - s - - ihrn Mädle - a - sog - -
ab	12341	Rohrbach	1	Iech ben - bei dar Fra gewast un - hua 's - r - gesat un - se - - sate - - se - - wel - z - - ährär Tochtr - - - sah - -
ab	12371	St Jacob bei Leutenberg	1	Īch binn - bei där Fra gewäsen un - hōb 's - 'r - gesāht un - se - - sāhte - - se - - wollt - 's ā - erer Tuchter - - - sā - -
ab	12390	Neundorf (bei Schleiz)	1	Öich böin - bei d'r Fraä geweäsen un - hob 's - ihr - g'seht un - s' - - sogt' - - s' - - wuollt - 's - - ihr'r Docht'r - - - sog'n - -
ab	12410	Ebersgrün	1	Ich bi - bei der Frēi gewēisen und - ho - - er sch gesoggt u - se hot - gesoggt - - se - - will - s - - ihrn Mēidel - ēi - song - -
ab	12428	Roitzschau/Rotschau	1	ch bi - bei der Fraa g'wahn un̄ - ho - - err sch gsogt un - se hoot - gsogt - - se - - well - s a - ihra Tocht'r - - - soogn - -
ab	12496	Horsdorf	1	I' bḭ' - bei dè Fra gwést und - hou s - éra - g'sogt und - sie hout - g'sogt - - sie - - will - 's a - ihra Tochte - - - sog' - -
ab	12529	Ködnitz	1	Ich bi - bo der Fra gewest und - ho s - ihr - gsogt und - sie hot - gsogt - - sie - - will - 's a - ihrn Mala - - - sogn - -
ab	12556	Kornbach	1	Ich bi - bo der Frā gwes'n und - hŏb - - ihr sch gsockt und - sie hot - gsockt - - sie - - wollt - s a - ihrer Tochter - - - so̰ng - -
ab	12572	Habnith	1	Ich bin - bei dea Frau gwesn und - ho - - ihr s gsagt und - sie haut - gsagt - - sie - - will - s a - ihra Tochta - - - song - -
ab	12594	Uchenhofen	1	Ich bin - bei der Fra gawaßt un - ho ss - era - gsocht un - sie hat - gsocht - - sie - - wöllt - s - - ihra Tochter - ach - sog - -
ab	12616	Reutersbrunn	1	Jch bin - bei d'r Fra gwast un - ho ß - 'ra - gsogt un - sie hot - gsogt - - sie - - will - st a - ihrar Tochter - - - sogn - -
ab	12656	Weismain	1	Ich bin - bei dä Frah g'weh'n und - ho se - re - g'sogt und - sie - - sogt - - sie - - will - s a - ihrä Tochtä - - - sogn - -
ab	1278	Insko	1	Ik bü̆̆ - bī däa Frūga wēst ŏ̆ - hew 't - ĕ - segt ŏ - se - - säd - - se - - wudd - 't uk - äre Dochte - - - segga - -
ab	1287	Konotop	1	Ick bü - bi dä Frug weist o - heb 't - ä - secht o - se - - seid - - so - - wu - tt uck - äre Dochte - - - segga - -
ab	12876	Lohma	1	Ich bin - bei d'r Frox gewast un - hob 's - er - geseht un - se - - sehte - - se - - wohl - 's o - ehrer Tuchter - - - soge - -
ab	12898	Heiersdorf	1	Ich bin - bei dor Fro gwasen un - hab 's - r - gsaot - - se - - sot - - se - - wöll - s - - ihrer Tochter - ao - saon - -
ab	12921	Sachsenburg	1	Ich bin - bei da Froa g'was'n onn - ho - - ra 's g'soat onn - sa - - soat - - sa - - wellt - 's - - ihrâ Tochtâ - oah - soa'n - -
ab	12942	Rothenfurth	1	Ich bin - bei der Fra g'was'n un - hao 's - 'r - g'saod un - se - - saode - - se - - wóld - s o - ihrer Dóchder - - - saon - -
ab	1296	Zabin	1	Jck bin - bie de Frug weist u - häbb 't - ä - sächt u - se - - seid - - se - - wu - t - - eire Dochte - - - segga - -
ab	12969	Borlas	1	Ich bin - bei d'r Fra gewäsn un - ho s - er - gesait un - se - - saite - - se - - wullt - s - - ihrer Tochter - - - sahn - -
ab	13005	Dohna	1	Ich bin - bei d'r Frau gewasen und - ho͡ah s - er - geso͡at und - se - - so͡ate - - se - - wull - 's - - ihrer Tuchter - oh - so͡ah'n - -
ab	13019	Porschdorf	1	Ich bin - bei der Frau gewasen und - ha s - er - gesaht und - se - - sahte - - se - - wällt - s a - ihrer Tochter - - - sahn - -
ab	13047	Morgenröthe	1	Ich bi' - bei der Frǟ gewǟsen und - hob s - ihr - gesat und - sie - - sate - - sie - - wollt - s - - ihrer Tochter - - - song' - -
ab	13054	Rittersgrün	1	Ich bie - bei derr Frǟ gewösen un - ho - - er sch gesät un do - - - sat ze - se - - well - s - - ihrer Tochter - - - song - -
ab	1315	Kamien	1	Ig bi - bi de Frug w[or?]hst u - häb t - ä - sächt u - sei - - sär - - sei - - wur - - ug - ähne Dochte - - - sägge - -
bc	13169	Saupersdorf	1	Ich bi - bei dar Fraa gewasen un - ho - - er s gesaat un - se - - saat - - sie - - wollt - s - - ihrer Tochter - - - song - -
bc	13187	Kühnheide	1	Ich bie - bei dr Fràh gewàsen und - hob - - r sch gesáht un - se - - sáht - - se - - wöllt - s à - ihrer Tochter - - - sáh - -
bc	13210	Himmelmühle	1	Jch bi - bei da Fra găwăsn un - ho - - ar sch găsoaht - - - - - - - - să - - wollt - s a - ihră Tochtăr - - - soah - -
bc	13226	Rübenau	1	Iig bi - bei der Frah gewasen un - ho - - rer sch gesaht un - sie - - saht - - se - - wollt - s - - ihrer Tahter - a - soh - -
bc	13269	Thurm	1	Ich bi - bei der Frä gewäsen un - hob es - ihr - gesaht un - se - - sahte - - se - - wullte - es ä - ihrer Tuchter - - - sahn - -
bc	13286	Ursprung	1	Ich bieh - bei dar Fraa gewaasen unn - hob - - er sch gesoaht unn - sie - - soaht - - sie - - wullt - s a - ihrer Tuchter - - - soah - -
bc	133	Sosnowo	1	Ick bü - bi de Fruga wäst o - hew ea - dat - seggt o - sei - - sä - - sei - - wull - dat uck - ära Dochta - - - seḡa - -
bc	13317	Dittmannsdorf	1	Ich bi - bĕ dā Frō gwāsn un - ho s - a - gsōd un - se - - sōd - - se - - welld - s - - ihra Dóchda - o - sán - -
bc	13340	Grosshartmannsdorf	1	Ich ben̄ - bei dar Fra gewasen on - hob 's - r - gsaht on - se - - saht - - se - - wöllt - s a - ihra Tochta - - - sahn - -
bc	13355	Reichenau	1	Jch bin - bei de Froa gewasen und - ha es - ihr - gesaht - - - - - - - - se - - wulle - es oh - ihrer Tuchter - - - sahn - -
bc	13372	Liebenau	1	Ich bi - bei d'r Fra g'wasen und - hä 's - 'r - ges(äht und - se - - soahte - - se - - wullt - 's och - ihrer Tuchter - - - soahn - -
bc	1338	Dzidno	1	Ich bü - bi dä Frug west uh - hebb e - dat - sächt uh - sei - - säd - - sei - - wu - dat uk - ährä Dochtä - - - säjä - -
