Index	Bogennummer	Ort	Sprache	ich1	bin	sein1	war	hab	gewesen	bei	von	nach	zu	mit	der1	frau	weib	alten	basi	mutter	und1	ich2	habe	es1	für1	an1	zu1	gegen1	ihr	ihrder	ihrsie	gesagt1	und2	da	sie1	hat1	gesagt2	dass	sie2	ich3	hat2	es2	will	tut	geht	soll	macht	sagen	auch	schon	gleich	für2	an2	zu2	gegen2	ihrer	der	sein	mein	tochter	mädchen	deern	mensch	lüte	gits	famen
ab	10974	Haindorf	1	j ch	b i n	- - - -	- - - -	- - - -	g e w a s - t	b äi	-	- - -	-	-	d e r - -	f r au - - -	- - - - -	- - - -	-	-	ou - -	- - -	h o n - -	- - s	-	-	-	- - - - -	- e r - -	- - - -	-	g e s äh - t	o n -	-	s e	- - - -	- - s ä g t -	- - -	s e	-	-	- - s	w ö ll - - -	- - -	- - - -	- - -	-	s äh - - -	au -	-	-	- - -	-	- - -	- - - - -	- i r - m - -	- - -	- - - - - -	-	- - - - - - - -	m ä - - g e -	- - - - - -	-	-	-	-
ab	110	Rozpedziny	1	j ck	b e n	- - - -	- - - -	- - - -	- - w e s - t	b i	-	- - -	-	-	d e - - -	f r u - - -	- - - - -	- - - -	-	-	o n -	- - -	h ä b - -	- - -	-	-	-	- - - - -	- ä - - -	- - - -	-	- - s ä g t	o n -	-	s e	- - - -	- - s ä g t -	- - -	s e	-	-	- e t	w u ll - - -	- - -	- - - -	- - -	-	s ä gg e -	o ck	-	-	- - -	-	- - -	- - - - -	- eh r e - - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
ab	11132	Schwarzwald	1	e ch	b e nn	- - - -	- - - -	- - - -	g e w a s - t	b i	-	- - -	-	-	d a r - -	f r a b - -	- - - - -	- - - -	-	-	o n -	- - -	h a nn - -	- e s	-	-	-	- - - - -	- eh r - -	- - - -	-	g e s ä - t	o n -	-	s e	- - - -	- - s ä - t -	- - -	s e	-	-	- - s	w e ll - t -	- - -	- - - -	- - -	-	s ä - - -	a -	-	-	- - -	-	- - -	- - - - -	- e r e r - -	- - -	- - - - - -	-	t e ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
ab	11149	Wipfra	1	e ch	b e n	- - - -	- - - -	- - - -	g e w ä s - t	b ie	-	- - -	-	-	d ä r - -	f r o w e -	- - - - -	- - - -	-	-	o nn -	- - -	h o - - -	- a s	-	-	-	- - - - -	- - r - -	- - - -	-	g e s ee - t	o nn -	-	s e	- - - -	- - s ee - t e	- - -	s e	-	-	- - s	w ö ll - - -	- - -	- - - -	- - -	-	s ee - - -	o -	-	-	- - -	-	- - -	- - - - -	- äh r e n - -	- - -	- - - - - -	-	- - - - - - - -	m ee - - ch e n	- - - - - -	-	-	-	-
ab	11180	Remda	1	e ch	b ä n	- - - -	- - - -	- - - -	g e w a s e n	b ei	-	- - -	-	-	d - r - -	f r a - - -	- - - - -	- - - -	-	-	u n -	- - -	h a - - -	- - s	-	-	-	- - - - -	- - r - -	- - - -	-	g e s ah - t	o nn -	-	s e	- - - -	- - s ah - t e	- - -	s e	-	-	- - s	w u ll - - -	- - -	- - - -	- - -	-	s ah - - -	o -	-	-	- - -	-	- - -	- - - - -	- äh r e r - -	- - -	- - - - - -	-	t o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
ab	11197	Zeutsch	1	i ch	b i n	- - - -	- - - -	- - - -	g e w a s e n	b ei	-	- - -	-	-	d ei n e r	f r o - - -	- - - - -	- - - -	-	-	u n -	- - -	h o - - -	- - sch	-	-	-	- - - - -	- e r - -	- - - -	-	g e s oh - t	u n -	-	s e	- - - -	- - s oh - t e	- - -	s e	-	-	- - s	w e ll - - -	- - -	- - - -	- - -	-	s oh - e -	- -	-	-	- - -	-	- - -	- - - - -	- eh r e r - -	- - -	- - - - - -	-	t u ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
ab	11212	Breitenhain	1	e ch	b i n	- - - -	- - - -	- - - -	g e w a s e n	b ei	-	- - -	-	-	d - r - -	f r a - - -	- - - - -	- - - -	-	-	u n -	- - -	h a b - -	- - s	-	-	-	- - - - -	- - r - -	- - - -	-	g e s ö - t	u n -	-	s e	- - - -	- - s ö - t e	- - -	s e	-	-	- - s	w ä ll - - -	- - -	- - - -	- - -	-	s öe - - -	a -	-	-	- - -	-	- - -	- - - - -	- ih r e r - -	- - -	- - - - - -	-	t o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
ab	11230	Burkersdorf	1	i ch	b i n	- - - -	- - - -	- - - -	g e w ae s e n	b a	-	- - -	-	-	d e r - -	f r au - - -	- - - - -	- - - -	-	-	u - -	- - -	h o b - -	- - s	-	-	-	- - - - -	- e r - -	- - - -	-	g e s eh - t	u - -	-	s ie	- - - -	- - s eh - t e	- - -	s ie	-	-	- e s	w e ll - t e	- - -	- - - -	- - -	-	s o g e -	a -	-	-	- - -	-	- - -	- - - - -	- ih r e r - -	- - -	- - - - - -	-	t u ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
ab	11252	Seelingstädt	1	i ch	b i n	- - - -	- - - -	- - - -	g e w ö s e n	b ei	-	- - -	-	-	d e r - -	f r a - - -	- - - - -	- - - -	-	-	u n d	- - -	h o b - -	- e s	-	-	-	- - - - -	- ih r - -	- - - -	-	g e s e - t	u n d	-	s ie	- - - -	- - s ah - t e	- - -	s ie	-	-	- e s	w u ll - - e	- - -	- - - -	- - -	-	s eh - - n	a -	-	-	- - -	-	- - -	- - - - -	- ih r e r - -	- - -	- - - - - -	-	t u ch t a r - -	- - - - - - -	- - - - - -	-	-	-	-
ab	11262	Seebach	1	i ch	b i n	- - - -	- - - -	- - - -	g e w a s - t	b ei	-	- - -	-	-	d e r - -	f r au - - -	- - - - -	- - - -	-	-	u n -	- - -	h o n - -	- - s	-	-	-	- - - - -	- öh r - -	- - - -	-	g e s o - t	u n -	-	s öh	- - - -	- - s u k - -	- - -	s öh	-	-	- - tt	w i ll - - -	- - -	- - - -	- - -	-	s ah - e -	au -	-	-	- - -	-	- - -	- - - - -	- öh r - n - -	- - -	- - - - - -	-	- - - - - - - -	m äi - - - e n	- - - - - -	-	-	-	-
ab	1133	Debenke	1	i ksch	b üh -	- - - -	- - - -	- - - -	- - w ä s - t	b ie	-	- - -	-	-	d ä - - -	f r u g - -	- - - - -	- - - -	-	-	u - -	- - -	h ä b - -	d a t	-	-	-	- - - - -	- äh - e -	- - - -	-	- - s ä g t	u - -	-	s ei	- - - -	- - s ä - d -	- - -	s ei	-	-	d a t	w u - - - -	- - -	- - - -	- - -	-	s ä g e -	o k	-	-	- - -	-	- - -	- - - - -	- - - - - - -	- - -	- - - - - -	-	d o ch t e - - -	- - - - - - -	- - - - - -	-	-	-	-
ab	1139	Gliszcz	1	ÿ k	b ÿ -	- - - -	- - - -	- - - -	- - w ä s - t	b i	-	- - -	-	-	d ä - - -	f r u g - -	- - - - -	- - - -	-	-	u - -	- - -	h ä bb - -	- - -	-	-	-	- - - - -	- ä - - -	- - - -	-	- - s ä ch t	u - -	-	s ai	- - - -	- - s ä - d -	- - -	s ai	-	-	d a t	w u - - - -	- - -	- - - -	- - -	-	s ä gg e -	o k	-	-	- - -	-	- - -	- - - - -	- - - - - - -	- - -	- - - - - -	-	d o ch t - - n -	- - - - - - -	- - - - - -	-	-	-	-
