Index	Bogennummer	Ort	Sprache	ich1	bin	gewesen	bei	der	frau	und1	ich2	habe	es1	zu1	ihr	gesagt1	und2	da	sie1	hat1	gesagt2	dass	sie2	hat2	es2	will	sagen	auch	zu2	ihrer	tochter
ab	11896	Sülzdorf	1	Jch	bin - - -	gewast -	bai - - - -	die	Fra - - - -	on	-	ho'	s	- - - -	erre - - -	gsöt	on	-	sie - - - -	-	sött	-	sie - - - - -	-	's	wall - - - -	sö	a - -	- - - -	ührer - - - -	- (Medle) - - - - -
ab	1192	Debsko	1	Ick	bin - - -	weist -	bi - - - -	de	Frug - - - -	u	-	hebb	t	- - - -	e - - -	seggt	u	-	se - - - -	-	seggt	-	se - - - - -	-	tt	wu - - - -	segge	ok - -	- - - -	ähre - - - -	Dochte - - - - - -
ab	11927	Bachfeld	1	Ich	bin - - -	g'waßt -	bei - - - -	där	Fra - - - -	un	-	hob	's	- - - -	ihr - - -	g'socht	un	-	sie - - - -	-	socht	-	sie - - - - -	-	's	wollt - - - -	sogen	ä - -	- - - -	ihrer - - - -	Tochter - - - - - -
ab	1197	Plociczno	1	Ick	bün - - -	veist -	bi - - - -	de	Frau - - - -	o	-	heb	et	- - - -	är - - -	seggt	un	-	sie - - - -	-	sät	-	sie - - - - -	-	'et	woll - - - -	sägge	ok - -	- - - -	äre - - - -	Dochte - - - - - -
ab	1203	Nakielno	1	Jck	bin - - -	weist -	bi - - - -	de	Fruk - - - -	un	-	häb	-	- - - -	äh - - -	sägt	un	-	se - - - -	-	seid	-	se - - - - -	-	dat	wu - - - -	sägga	ok - -	- - - -	eire - - - -	Tochte - - - - - -
ab	12037	Hildburghausen	1	Ich	bin - - -	gewāsen -	bei - - - -	d'r	Frā - - - -	un	-	hō	se	- - - -	re - - -	g'sogt	un	-	sie - - - -	hot	g'sogt	-	sie - - - - -	-	's	wullt - - - -	sog	a - -	- - - -	ihr'n - - - -	- Mädle - - - - -
ab	12070	Neuenbau	1	Ich	bin - - -	gewast -	bei - - - -	der	Fraa - - - -	und	-	ho	s	- - - -	ere - - -	gesocht	und	-	sie - - - -	-	socht	-	sie - - - - -	-	's	wollt - - - -	sog	a - -	- - - -	ihrer - - - -	Tochter - - - - - -
ab	1208	Wissulke (Wiesiółka)	1	Ick	bin - - -	weist -	bi - - - -	dä	Frug' - - - -	u	-	hebb	t	- - - -	ä - - -	seggt	u	-	se - - - -	-	seid	-	se - - - - -	-	tt	wu - - - -	seggö	ock - -	- - - -	eire - - - -	Dochte - - - - - -
ab	12085	Grumbach	1	Ich	bin - - -	gewåst -	bei - - - -	dårå	Frå - - - -	unn	-	hob	's	- - - -	ihr - - -	gesogt	unn	-	så - - - -	-	sogt	-	så - - - - -	-	es	wollt - - - -	sog	å - -	- - - -	ihrn - - - -	- Mädlå - - - - -
ab	12104	Frössen	1	Eich	bei - - -	geweisen -	be - - - -	darr	Frā - - - -	und	-	hau	's	- - - -	'r - - -	gesockt	und	-	se - - - -	hoətt	gesockt	-	se - - - - -	-	's	wöllt - - - -	saung	- - -	- - - -	ihrer - - - -	Tochter - - - - - -
ab	12125	Schwand	1	Ich	bin - - -	geweesn -	bei - - - -	dr	Frä - - - -	unn	-	ho	s	- - - -	er - - -	gesockt	unn	-	sie - - - -	-	sockt	-	se - - - - -	-	s	will - - - -	sohng	äh - -	- - - -	ihrer - - - -	Tochter - - - - - -
ab	12148	Kottengrün	1	Ich	bin - - -	gewehn -	bei - - - -	der	Frau - - - -	un	-	ho	s	- - - -	ihr - - -	gesockt	un	-	se - - - -	-	sat	-	se - - - - -	-	s	wot - - - -	sogn	aa - -	- - - -	ihrer - - - -	Tochter - - - - - -
