Ort::REDE_GIDs	Ort::Longitude	Ort::Latitude	Bogennummer	Ort::Name	Ort::Sprache	müde	wir	sind	und	uns	haben	einen	Durst
381386	20,32309	52,34227	-55189	MISZORY	1	meed	Wi	send	on	-	hebbe	-	Dast.
360043	20,13	52,35	-55187	NOWA WIES	1	med	Wie	sennt	o	-	hebe	-	Deast.
153496	19,04075	52,34483	-55181	PSARY	1	möd	Wie	sinn	on	-	hebbe	-	Dost.
371914	18,72994	52,35334	-55177	BRDOW	1	moid	Mia	sana	und	-	hoama	-	durscht.
160111	18,0907	52,37183	-55173	KOZIE GLOWY	1	mid	Bir	sinn	und	-	hoin	-	Durscht.
522932	20,71013	52,43195	-55171	NOWY DWￃﾓR MAZOWIECKI	1	meed	Wi	senn	on	-	habe	-	Dast.
378704	20,15711	52,44792	-55169	ORSZYMOWO	1	mejd	Wi	send	o	-	hebe	-	Deest.
362859	19,88222	52,47212	-55166	BUDY BOROWICKIE	1	meed	Wie	send	oh	-	hebbe	-	Deßt.
158213	19,19	52,5	-55164	WIESLAWICE	1	müd	Wie	bew	ok	-	hav	-	Dast.
160686	18,56964	52,49663	-55139	KOZY	1	möd	Wi	sin	ü	-	hebbe	-	Döst.
168276	20,72309	52,595	-55137	KONARY	1	meed	Wi	send	o	-	habe	-	dast.
378564	20,22129	52,62835	-55135	DZIERZAZNIA	1	mied	Wir	sind	un	-	haben	-	Dorscht.
155785	19,84137	52,60089	-55133	MECZENINO	1	meed	Wie	sent	un	-	habi	-	Dorst.
149433	19,38268	52,66071	-55129	LENIE MALE	1	mejd	Wie	send	o	-	hebe	-	daßt.
169047	19,61064	52,67865	-55117	NOWE KARWOSIEKI	1	med	Wehe	sen	ohas	-	-	-	dastet.
160546	18,78115	52,68656	-55113	KUJAWKA	1	mied	Mer	sin	und	-	hun	-	Dorscht.
383881	20,5249	52,74235	-55110	KICIN	1	mööd	Wie	send	on	-	habä	-	döast.
523813	19,89611	52,8243	-55107	ZAWIDZ KOSCIELNY	1	med	Wi	send	ok	-	-	-	dastich.
385499	21,0919	52,86502	-55099	MAKOW MAZOWIECKI	1	mied	Wie	sin	und	-	babo	-	dast.
157211	20,45214	52,90666	-55096	MODELKA	1	med	Wi	send	on	-	habe	-	Darst.
370415	19,35265	52,86583	-55091	SKEPE	1	med	We	send	ok	-	habe	-	Dast.
372497	18,80354	52,87503	-55081	CIECHOCINEK	1	möd	Wi	send	o	-	send	-	dastg.
523501	21,60772	53,09558	-55072	OSTROLEKA	1	müde	Wir	sind	und	-	haben	-	durscht.
523333	20,63095	53,05753	-55070	GRUDUSK	1	müde	Wir	sind	und	-	-	-	durstig.
523822	19,91826	53,06515	-55066	ZUROMIN	1	müde	Wir	sind	u	-	heben	-	Durst.
533045	19,30736	53,0267	-55064	ZALE	1	med	Wie	send	ok	-	have	-	Dost.
151057	19,38273	53,15623	-55055	OBORKI	1	mehd	Wi	send	o	-	haebe	-	Daest.
546509	11,21313811	46,24017188	-46353	SALURN (SALORNO)	1	müad	Mia	sein	und	-	hobn	-	durst.
546604	11,36733955	46,27778405	-46351	ALTREI (ANTERIVO)	1	müad	Miar	sain	und	-	hobn	-	Durst.
546500	11,43174923	46,4138887	-46344	DEUTSCHNOFEN (NOVA PONENTE)	1	mia	Miar	sain	und	-	homen	-	Durscht.
546496	11,24240205	46,41465671	-46340	KALTERN (CALDARO)	1	müad	Miar	sain	und	-	alm	-	durscht.
546443	11,38	46,56	-46319	WANGEN (VANGA)	1	gschuntn	Miar	sein	und	-	habm	-	Durst.
546429	11,00515196	46,54922739	-46305	SANKT WALBURG (SANTA VALBURGA)	1	löts	Mier	sain	und	-	hobm	-	Durscht.
546418	11,61186982	46,60311182	-46293	SANKT PETER HINTER LAJEN (SAN PIETR	1	meiad	Mier	san	u	-	hobn	-	Durst.
546475	10,54690805	46,59833157	-46262	STILFS (STELVIO)	1	mied	Miar	sein	un	-	hobn	-	durscht.
