Ort::REDE_GIDs	Ort::Longitude	Ort::Latitude	Bogennummer	Ort::Name	Ort::Sprache	Transliteration WS23
371988	22,3218	53,99686	3280	SWIETAJNO	1	Wi seend mehd on hebbe darscht.
522636	21,20448314	55,71965786	3301	BARSCHKEN	1	Wie send med on hebbe darscht.
522639	21,36403742	55,68662072	3304	DAWILLEN	1	Wij sönn möhd onn häbbe därscht.
522647	21,28926499	55,59351795	3309	DITTAUEN	1	Wi sönd med un hebe derscht.
522665	21,48403217	55,55113505	3318	DEEGELN	1	Wi send möd un hebbe derscht.
535122	20,92690302	55,23177528	3342	PILLKOPPEN	1	Wie söend möed un hebbe derscht.
522717	21,26894734	55,19209992	3343	KARKELN	1	Wie sönd möd un hebbn derscht.
522719	21,42381135	55,21041379	3345	DￃﾜNEN (ACKMENISCHKEN)	1	Wie sänd möd on hebbe därscht.
522727	21,72199295	55,21450357	3351	PLEINE	1	Wi sönn möd onn hebbe derscht.
522740	22,0268655	55,19542009	3362	CULLMEN-KULKEN	1	Wih sönd meed onn hübe Dürrscht.
540914	20,85374118	55,15623681	3364	ROSITTEN (RYBACHIY)	1	Wir senn mehd on hebbe därscht.
