Longitude	Latitude	REDE_GIDs	Name	Bogennummer	REDE_Namen	Sprache
7.94492	49.62669	97006	DANNENFELS	14693	Dannenfels	1
8.20454	49.63649	98182	MONSHEIM	14724	Monsheim	1
6.6329076	49.73705783	534212	SANKT MATTHIAS	14752	Sankt Matthias	1
6.89034	49.75266	97643	BESCHEID	14955	Bescheid	1
7.16681	49.75594	96587	ALLENBACH	14971	Allenbach	1
18.31669	53.6553	152200	STARA RZEKA	1499	Stara Rzeka	1
7.39191	49.77036	101007	BERSCHWEILER BEI KIRN	14999	Berschweiler bei Kirn	1
7.64796	49.7846	98789	BAD SOBERNHEIM	15018	Bad Sobernheim	1
7.92068	49.79459	98807	NEU-BAMBERG	15042	Neu-Bamberg	1
8.19083	49.80215	100524	BECHTOLSHEIM	15066	Bechtolsheim	1
6.35877	49.85133	96333	BOLLENDORF	15088	Bollendorf	1
6.62928	49.90606	99873	PREIST	15096	Preist	1
6.88064	49.90937	100611	POHLBACH	15118	Pohlbach	1
7.12694	49.9156	98569	KAUTENBACH	15137	Kautenbach	1
7.40287	49.94174	100656	KIRCHBERG (HUNSRÜCK)	15334	Kirchberg (Hunsrück)	1
7.64098	49.98645	96652	ELLERN (HUNSRÜCK)	15349	Ellern (Hunsrück)	1
21.39751921	55.00008085	541593	HEIDLAUKEN (BUGORKI)	1536	Heidlauken (Bugorki)	1
7.89616	49.96901	99926	BINGEN AM RHEIN	15365	Bingen am Rhein	1
8.1754	49.98368	94365	FINTHEN	15394	Finthen	1
21.69458052	55.04244719	534942	HEINRICHSWALDE	1540	Heinrichswalde	1
14.08782256	50.79454917	541288	SCHNEEBERG (SNￄﾚￅﾽNￃﾍK)	15418	Schneeberg (Sněžník)	1
13.57030177	50.62249964	542632	ZETTEL (SEDLO)	15503	Zettel (Sedlo)	1
21.99049945	55.02117866	522795	PAZUIZEN	1552	Pazuizen	1
13.86383504	50.62849859	542678	WISTERSCHAN (BYSTￅﾘANY)	15538	Wisterschan (Bystřany)	1
14.12005467	50.63121237	542690	MALSCHEN (MALEￄﾌOV)	15550	Malschen (Malečov)	1
14.08715095	50.50156837	542767	LUKAWETZ (LUKAVEC)	15638	Lukawetz (Lukavec)	1
22.25700873	55.00557634	522784	GIERVER LAUKEN	1565	Gierver Lauken	1
14.78356188	50.53120776	542813	NEUDORF (VRCHBￄﾚLA)	15681	Neudorf (Vrchběla)	1
14.60808505	50.45343095	542817	GASTORF (HOￅﾠTKA)	15685	Gastorf (Hoštka)	1
14.37491447	50.45239746	542822	WEGSTￃﾄDTL (ￅﾠTￄﾚTￃﾍ)	15690	Wegstädtl (Štětí)	1
22.59096608	55.07130157	522772	SCHMALLENINGKEN	1571	Schmalleningken	1
14.36367041	50.96533327	542853	NIXDORF (MIKULￃﾁￅﾠOVICE)	15725	Nixdorf (Mikulášovice)	1
19.96594881	54.93887292	541600	GROￃﾟ DIRSCHKEIM (DONSKOYE)	1573	Groß Dirschkeim (Donskoye)	1
15.17855469	50.94940265	542878	RￃﾜCKERSDORF (DOLNￃﾍ ￅﾘASNICE)	15751	Rückersdorf (Dolní Řasnice)	1
20.25705523	54.95056245	540919	RANTAU (ZAOSTROV'YE)	1578	Rantau (Zaostrov'Ye)	1
16.09538	53.76262	370788	POLCZYN-ZDROJ	158	Polczyn-Zdroj	1
20.51939251	54.91991342	541603	SCHULSTEIN (VOL'NOE)	1580	Schulstein (Vol'Noe)	1
14.37790266	50.79284652	542974	KAMNITZ-NEUDￃﾖRFL (KAMENICKￃﾁ NOVￃﾁ Vￃﾍ	15807	Kamnitz-Neudörfl (Kamenická Nová Ví	1
14.63295874	50.77707134	542975	ZWICKAU (CVIKOV)	15824	Zwickau (Cvikov)	1
14.93221691	50.77197058	542985	CHRISTOPHSGRUND (KRYￅﾠTOFOVA ￃﾚDOLￃﾍ)	15847	Christophsgrund (Kryštofova Údolí)	1
15.15829159	50.77890432	541010	GRￃﾄNZENDORF (HRANIￄﾌￃﾁ)	15858	Gränzendorf (Hraničá)	1
21.36986045	54.92959481	541608	ALT SUSIMILKEN (TARASSOWKA)	1588	Alt Susimilken (Tarassowka)	1
15.16928862	50.67533905	543079	PULETSCHNEI (PULEￄﾌNￃﾝ)	15971	Puletschnei (Pulečný)	1
14.39168331	50.63206481	543083	GRABER (KRAVAￅﾘE)	15975	Graber (Kravaře)	1
14.62813223	50.58543476	543108	THAMMￃﾜHL (STARￃﾉ SPLAVY)	15989	Thammühl (Staré Splavy)	1
14.90460482	50.62283086	543114	PROSCHWITZ (ￄﾌESKￃﾁ PROSEￄﾌ)	15995	Proschwitz (Česká Proseč)	1
15.42528858	50.77531258	543126	HARRACHSDORF (HARRACHOV)	16007	Harrachsdorf (Harrachov)	1
15.53	50.68	543132	WITKOWITZ (VÍTKOVICE)	16015	Witkowitz (Vítkovice)	1
15.69389245	50.59885819	543165	FORST (FORT)	16050	Forst (Fort)	1
15.94353338	50.59404379	543176	GABERSDORF (LIBEￄﾌ)	16063	Gabersdorf (Libeč)	1
16.19811359	50.59375748	543192	BODISCH (BOHDAￅﾠIN)	16083	Bodisch (Bohdašin)	1
15.68710662	50.45583613	543232	ZWITSCHIN (ZVIￄﾌINA)	16139	Zwitschin (Zvičina)	1
15.95476147	50.41624184	543256	GROￃﾟBOCK (VELKￃﾁ BUKOVINA)	16154	Großbock (Velká Bukovina)	1
13.05587082	50.43936341	541285	SCHMIEDEBERG (KOVￃﾁￅﾘSKￃﾁ)	16179	Schmiedeberg (Kovářská)	1
22.56764471	54.97028491	541640	TULPENINGKEN (ZAREￄﾌNOE)	1626	Tulpeningken (Zarečnoe)	1
12.57748601	50.27813882	543362	WAITZENGRￃﾜN (LOUￄﾌNￃﾁ)	16276	Waitzengrün (Loučná)	1
22.74958463	54.93330301	541641	WISBORIENEN (LIVNY)	1628	Wisborienen (Livny)	1
12.81664271	50.27172568	543381	SITTMESGRￃﾜN (MEZIROLￃﾍ)	16298	Sittmesgrün (Mezirolí)	1
