Index	Bogennummer	REDE_Namen	Sprache	WS28::Transliteration WS 28
bc	14486	Nadziejow	1	Ihr derft nicht solche Kindereia treiba.
bc	145	Smardzko	1	Ji döre ni son Kinnerieje driewe.
bc	14505	Piorunkowice	1	Ihr darft ni silche Kindereia treiba.
bc	1451	Steinforth (Brodźce)	1	Ji döwwä niä söun Tjinärijä driwä.
bc	14537	Bielice	1	Ihr därft nie selle Kendereia treiwa.
bc	14560	Siemianowice Slaskie	1	Ihr derscht ne silche Kindereia treiba.
bc	1461	Wegorzewo Szczecineckie	1	Ji dawä ni soen Kinderig driewä.
bc	14613	Nohfelden	1	Ihr derft ke Kennereie treiwe.
bc	14635	Erzweiler	1	Er derfe net so vel Kinnerei treiwe.
bc	14670	Nussbach	1	Éhr därfe kä̰̀n so Kinnereie treiwe.
bc	14693	Dannenfels	1	Ehr derft net so'n Kinnerei dreiwe!
bc	14724	Monsheim	1	Ehr derft net so Kinereien treiwe.
bc	14752	Sankt Matthias	1	Der därft nött su Könnereïen dreïwen!
bc	14955	Bescheid	1	Dir dörft sou kän Kennereien treiwen.
bc	14971	Allenbach	1	Dir dirft net so Kennereie treiwe.
bc	1499	Stara Rzeka	1	Ji deawa nich sunn Djinarija driwa
bc	14999	Berschweiler bei Kirn	1	Dir derft [nerre?] so Kinnerreie treiwe.
bc	15018	Bad Sobernheim	1	Der därft nit solche Kinnereie treiwe.
bc	15042	Neu-Bamberg	1	Er derfe nett so Kinnereie treiwe.
bc	15066	Bechtolsheim	1	Ehr derfen nett die Kinnereie treiwe
bc	15088	Bollendorf	1	D'rr dērft [nĕ?]t e suen Kanneraien draiwen.
bc	15096	Preist	1	Der derft nit esuen Kannereien dreifen.
bc	15118	Pohlbach	1	Dir dirft net solch Kannareien treiwen.
bc	15137	Kautenbach	1	Dir derft so Kennerei net treiwe.
bc	15334	Kirchberg (Hunsrück)	1	Dehr dirft nitt so Kinnereie dreiwe.
