Index	Bogennummer	REDE_Namen	Sprache	WS10::Transliteration WS10
pq	47885	Edemannswisch	1	J? wüll dat ok nich mehr werrer don.
pq	4789	Briescht	1	Ick will et och nich mehr widder duhn.
pq	47893	Oesterborstel	1	Jck wüll dat ock ni mehr weller dohn.
pq	47907	Hamweddel	1	Jk wöll datt ok ni wĕ dohn!
pq	47916	Warder	1	Eck well dat ock ni meer weller daun.
pq	47935	Klein Barkau	1	Jck will't ok ni wer daun.
pq	47952	Mucheln	1	Jk will dat ock ni weller dauhn!
pq	4800	Gross Briesen	1	Ich will es ooch nich mehr widder thun
pq	48096	Grömitz	1	Jck will dat ok nich weller dohn.
pq	48098	Friedrichskoog	1	Jck wüll dat uck nich waller dohn!
pq	48105	Barlteraltendeich	1	Jck will dat ok ni weller doh'n.
pq	48115	Holstenniendorf	1	Eck well at ock ni weller doh'n.
pq	48126	Jahrsdorf	1	Ek well datt ock ni ens weller dohn.
pq	4813	Klopot	1	Ich will es och nich mer wedder thun
pq	48141	Ehndorf	1	Jk will dat ok ni mehr wärder dohn.
pq	48156	Gönnebek	1	Jck will datt ock ne weller daun.
pq	48164	Wöbs	1	Jck will datt uck nich wärr'r daohn.
pq	48186	Süsel	1	Jck will dat ock nich miehr weller dohn!
pq	48233	Brunsbüttelerhafen	1	Jk will dat ok ni weller dohn.
pq	48239	Brokdorf	1	Jk will dat ok nich weller dohn.
pq	4824	Radomicko	1	Ick wills och nich mehr widder thun.
pq	48240	Spiekeroog	1	JK will't ook nich wär doon!
pq	48242	Berensch	1	Jck will datt uck ni weller dohn.
pq	48247	Altenbruch	1	Jck will dat uck ne mehr weller dohn!
pq	48282	Norderney	1	Ick will't ok ne mer wer don.
pq	48283	Baltrum-Ostdorf	1	Ick will d'ok nich mehr wehr don.
pq	48302	Misselwarden	1	Jck willt ok gar ni weller doon.
pq	4832	Radnica	1	Ich war's o ne mieh wieder thue.
pq	48324	Weissenmoor	1	Jck wüllt ne werler dohn!
pq	48342	Itzendorf	1	Ik wil dat ok neet wäer doon.
pq	48356	Arle	1	Ick will't neet wär doon!
pq	48368	Stedesdorf	1	Ick will't ook nich wär doon.
pq	48383	Wüppels	1	Ick will't ok nich wedder dohn.
pq	48392	Langwarden	1	Ick willd uck nich (mehr) wedder dohn.
pq	48401	Flögeln	1	Ick willt ock neg mehr wehr dohn!
pq	48477	Iffens	1	Ick will't ok nich mehr wedder dohn.
pq	48487	Blexen	1	Jck will't uck gar nich weller dohn.
pq	48497	Altluneberg	1	Jck will't ok nich wedder dohn.
pq	48507	Hönau-Lindorf	1	Eck willt ock nicht werder dohn.
pq	48516	Graal-Müritz	1	Jck will dat uck nich eins werră dauh'n.
qr	48522	Rerik	1	Jck will datt ock nich werre dauhn.
